1.1.	толшорлэн нырысетӥ нуналыз
22.4.	оштолэзьлэн кызь кыкетӥ нуналыз

23.4.	оштолэзьлэн кызь куинетӥ нуналыз

24.4.	оштолэзьлэн кызь ньылетӥ нуналыз

25.4.	оштолэзьлэн кызь витетӥ нуналыз

26.4.	оштолэзьлэн кызь куатетӥ нуналыз

27.4.	оштолэзьлэн кызь сизьыметӥ нуналыз

28.4.	оштолэзьлэн кызь тямысэтӥ нуналыз

29.4.	оштолэзьлэн кызь укмысэтӥ нуналыз

30.4.	оштолэзьлэн куамынетӥ нуналыз

1.5.	куартолэзьлэн нырысетӥ нуналыз

2.5.	куартолэзьлэн кыкетӥ нуналыз

3.5.	куартолэзьлэн куинетӥ нуналыз

4.5.	куартолэзьлэн ньылетӥ нуналыз

5.5.	куартолэзьлэн витетэӥ нуналыз

6.5.	куартолэзьлэн куатетэӥ нуналыз

7.5.	куартолэзьлэн сизьыметэӥ нуналыз

8.5.	куартолэзьлэн тямысэтӥ нуналыз

9.5.	куартолэзьлэн укмысэтӥ нуналыз

10.5.	куартолэзьлэн дасэтэӥ нуналыз

11.5.	куартолэзьлэн дас одӥгетӥ нуналыз

12.5.	куартолэзьлэн дас кыкетӥ нуналыз

13.5.	куартолэзьлэн дас куинетӥ нуналыз

14.5.	куартолэзьлэн дас ньылетӥ нуналыз

15.5.	куартолэзьлэн дас витетӥ нуналыз

16.5.	куартолэзьлэн дас куатетӥ нуналыз

17.5.	куартолэзьлэн дас сизьыметӥ нуналыз

18.5.	куартолэзьлэн дас тямысэтӥ нуналыз

19.5.	куартолэзьлэн дас укмысэтӥ нуналыз

20.5.	куартолэзьлэн кызетӥ нуналыз

21.5.	куартолэзьлэн кызь одИгетӥ нуналыз

22.5.	куартолэзьлэн кызь кыкетӥ нуналыз

23.5.	куартолэзьлэн кызь куинетӥ нуналыз

24.5.	куартолэзьлэн кызь ньылетӥ нуналыз

25.5.	куартолэзьлэн кызь витетӥ нуналыз

26.5.	куартолэзьлэн кызь куатетӥ нуналыз

