lemma_võro,lemma_estonian,lemma_finnish,lemma_english,lemma_saami,lemma_norwegian,lemma_swedish,lemma_german,pos,semtype,audio,,,
autokuul',autokool,autokoulu,driving school,biilaskuvla,kjøreskole,körskola,kjøreskole_DEU,N,CITY,,,,
autoparandus,autoparandus,autokorjaamo,car repair,biiladivohat,bilverksted,bilverkstad,bilverksted_DEU,N,CITY,https://synaq.org/priv/heli/ev/000101774.mp3,,,
avalik,avalik,julkinen,public,almmolaš,offentlig,offentlig,offentlig_DEU,A,ISSUE_A,https://synaq.org/priv/heli/ev/000101837.mp3,,,
avitama,aitama,auttaa,help,veahkehit,hjelpe,hjälpa,helfen,V,HUM_V,https://synaq.org/priv/heli/ev/000100125.mp3,,,
banaan',banaan,banaani,banana,banána,banan,banan,banan_DEU,N,FOOD_GROCERY,https://synaq.org/priv/heli/ev/0001b-d-00024.mp3,,,
buss',buss,bussi,bus,busse,buss,buss,buss_DEU,N,VEHICLE,https://synaq.org/priv/heli/ev/000101770.mp3,,,
buss',buss,linja-auto,bus,linnjábiila,rutebuss,rutebuss_SWE,rutebuss_DEU,N,VEHICLE,https://synaq.org/priv/heli/ev/000101770.mp3,,,
bussijuht',bussijuht,linja-autonkuljettaja,bus driver,bussevuoddji,bussjåfør,busschaufför,bussjåfør_DEU,N,CITY,,,,
duss',dušš,suihku,shower,riššu,dusj,dusch,dusj_DEU,N,ROOMPART,https://synaq.org/priv/heli/ev/0001b-d-00474.mp3,,,
edenimi,eesnimi,etunimi,forename,ovdanamma,fornavn,förnamn,fornavn_DEU,N,LANGUAGEPART,,,,
edevanõmb,esivanem,esivanhempi,ancestor,máttarváhnen,oldeforelder,förfader,Urahn,N,FAMILY,https://synaq.org/priv/heli/ev/0001b-d-00745.mp3,,,
eelektri,elekter,sähkö,electricity,elrávdnji,elektrisitet,elektricitet,Strom,N,YYY,,,,
eetiga,eetika,etiikka,ethics,etihkka,etikk,etik,etikk_DEU,N,SCHOOL,https://synaq.org/priv/heli/ev/0001b-d-00879.mp3,,,
ehitämä,ehitama,rakentaa,build,hukset,bygge,bygga,bauen,V,CITY,https://synaq.org/priv/heli/ev/0001b-d-00246.mp3,,,
ehitüs,ehitis,rakennus,building,rusttet,anlegg,byggnad,anlegg_DEU,N,BUILDING,https://synaq.org/priv/heli/ev/0001b-d-00240.mp3,,,
ehitüs,ehitis,rakennus,building,visti,bygning,byggnad,Gebäude,N,CITY,https://synaq.org/priv/heli/ev/0001b-d-00240.mp3,,,
eksäm',eksam,tentti,exam,tente,eksamen,eksamen_SWE,eksamen_DEU,N,SCHOOL,https://synaq.org/priv/heli/ev/0001b-d-00997.mp3,,,
elevant',elevant,elefantti,elephant,elefánta,elefant,elefant_SWE,elefant_DEU,N,ANIMAL_WILD,,,,
elläi,loom,eläin,animal,ealli,dyr,djur,dyr_DEU,N,ANIMAL_OTHER,https://synaq.org/priv/heli/ev/0001b-d-01085.mp3,,,
elo,elu,henki,life,heagga,liv,liv_SWE,liv_DEU,N,ABSTRACT,https://synaq.org/priv/heli/ev/000101625.mp3,,,
elotarõ,elutuba,olohuone,living room,orrunlatnja,stue,vardagsrum,stue_DEU,N,ROOM,https://synaq.org/priv/heli/ev/0001b-d-01267.mp3,,,
elämä,elama,asua,live,ássat,bo,bosätta sig,sich ansiedeln,V,HUM_V,https://synaq.org/priv/heli/ev/0001b-d-01087.mp3,,,
elämä,elama,elää,live,eallit,leve,leva,leben,V,BODY_V,https://synaq.org/priv/heli/ev/0001b-d-01087.mp3,,,
eräkund,erakond,puolue,party,bellodat,parti,parti,Party,N,ORGANIZATION,https://synaq.org/priv/heli/ev/0001b-d-01575.mp3,,,
