n; religion;	религия
n; temperature;	температура;MEASUREMENT
n; date;	дата           ;MEASUREMENT
n; weight;	вес            ;MEASUREMENT
n; edge;	ребро, край;MATHEMATICS
n; corner;	угол       ;MATHEMATICS
n; map	;карта
n; dot	;точка
n; consonant;	согласный
n; vowel;	гласный
n; light;	свет
n; sound;	звук
n; piece;	часть, кусок 
n; pain	;боль
n; injury	травма, рана 
n; hole	;дыра, дырка, отверстие, яма
n; image;	изображение, образ, имидж
n; pattern;	образец, рисунок
n; noun	;существительное 
n; verb	;глагол 
n; adjective;	прилагательное
adv; top	;наверх
adv; bottom	;снизу, основание 
adv; side	;сторона
adv; front	;передний, перед, фронт 
adv; back	;назад 
adv; outside;	вне, снаружи 
adv; inside	;внутри 
adv; up  ;вверх, наверху, вверху, наверх, до 
adv; down	;вниз 
adv; left	;левый, налево 
adv; right	;правый, направо 
adv; straight;	прямо, прямой 
n; north;	север
n; south;	юг
n; east	;восток
n; west	;запад
n; direction;	направление  
n; Summer;	лето
n; Spring;	весна
n; Winter;	зима
n; Fall	;осень
n; season;	сезон 		
n; Monday	;понедельник;TIME 
n; Tuesday	;вторник    ;TIME
n; Wednesday;	среда   ;TIME
n; Thursday	;четверг    ;TIME
n; Friday	;пятница    ;TIME
n; Saturday	;суббота    ;TIME
n; Sunday	;воскресенье;TIME		
n; year	;год                      ;TIME
n; month;	месяц                ;TIME
n; week	;неделя                   ;TIME
n; day	;день                     ;TIME
n; hour	;час                      ;TIME
n; minute;	минута               ;TIME
n; second;	второй               ;TIME
n; morning;	утро                 ;TIME
n; afternoon;	день, после обеда;TIME
n; evening;	вечер                ;TIME
n; night;	ночь                 ;TIME
n; time	;время                    ;TIME
v; to work;	работать
v; to play;	играть
v; to walk;	идти, ходить
v; to run ;	бежать 
v; to drive;	ездить 
v; to fly ;	лететь, летать 
v; to swim;	плавать
v; to go  ;	пойти 
v; to stop;	остановиться, остановить 
v; to follow;	следовать
v; to think;	думать
v; to speak;	говорить
v; to say ;	сказать
v; to eat ;	поесть, съесть 
v; to drink;	пить
v; to kill;	убить
v; to die ;	умереть
v; to smile;	улыбнуться, улыбаться
v; to laugh;	смеяться
v; to cry ;	кричать, плакать 
v; to buy ;	купить
v; to pay ;	заплатить
v; to sell;	продать
v; to shoot;	стрелять
v; to learn;	учиться
v; to jump;	подскочить, прыгать 
v; to smell;	пахнуть
v; to hear;	слышать, услышать  
v; to listen;	слушать
v; to taste;	отведать, пробовать, дегустировать, вкушать, являться на вкус
v; to touch;	затрагивать 
v; to see ;	видеть
v; to watch;	смотреть
v; to kiss;	поцеловаться, поцеловать 
v; to burn;	гореть, сжечь 
v; to melt;	таять
v; to dig ;	копать 
v; to explode;	взорваться
v; to sit ;	сидеть
v; to stand;	стоять
v; to love;	любить
v; to pass by;	проходить мимо, пройти мимо 
v; to cut ; отрезать, резать, сокращаться, сократить 
v; to fight;	бороться
v; to lie ;down	ложиться, лечь 
v; to dance;	танцевать
v; to sleep;	спать
v; to wake; up	просыпаться, проснуться 
v; to sing;	петь
v; to count;    рассчитывать, считать 
v; to marry;	жениться, зайти замужем
v; to pray;	молиться
v; to win ;	победить, выиграть 
v; to lose;	проиграть, потерять 
v; to mix,; stir	смешать, размешать
v; to bend;	согнуться, согнуть 
v; to wash;	вымыться, мыть 
v; to cook;	приготовить, готовить 
v; to open;	открыться, открыть 
v; to close;	закрыться, закрыть 
v; to write;	написать 
v; to call;	звонить, позвонить 
v; to turn;	поворачиваться, превратить 
v; to build;	построить 
v; to teach;	преподавать, учить 
v; to grow;	вырасти, расти 
v; to draw; рисовать 
v; to feed;	питаться, кормить 
v; to catch;	поймать
v; to throw;	бросить
v; to clean;	убрать
v; to find;	найти
v; to fall;	упасть, падать 
v; to push; толкать, продвигать
v; to pull; тянуть, потянуть 
v; to carry;	нести, носить 
v; to break;	сломаться, сломать 
v; to wear; носить, одевать 
v; to hang; висеть, повесить 
v; to shake;    трясти, дрожать 
v; to sign;	подписать, подписаться  
v; to beat;	бить, биться	 
v; to lift; поднять, подняться 
a; long	;длинный, долгий
a; short	;короткий
a; tall	;высокий
a; short	;короткий
a; low	;низкий
a; wide	;широкий
a; narrow	;узкий
a; big, large;	большой
a; small, little;	маленький
a; slow	;медленный
a; fast	;быстрый
a; hot	;горячий
a; cold	;холодный
a; warm	;теплый
a; cool	;прохладный
a; new	;новый
a; old ;старый
a; young	;молодой
a; old ;старый
a; good	;хороший
a; bad	;плохой
a; wet	;влажный, мокрый 
a; dry	;сухой
a; sick	;больной, болен 
a; healthy	;здоровый
a; loud	;громкий
a; quiet	;тихий
a; happy	;счастливый, счастлив 
a; sad	;печальный, грустный
a; beautiful;	красивый
a; ugly	;уродливый, некрасивый
a; deaf	;глухой
a; blind	;слепой
a; nice	;хороший
a; mean	;скупой
a; rich	;богатый
a; poor	;бедный
a; thick	;толстый
a; thin	;тонкий
a; expensive;	дорогой
a; cheap	;дешевый
a; flat	;плоский
a; curved;  кривой, изогнутый 
a; male	;мужский
a; female	;женский
a; tight  ; плотный, тугой, трудный, тесный, узкий 
a; loose	;свободный
a; high	;высокий
a; low	;низкий
a; soft	;мягкий
a; hard   ; трудный, трудно 
a; deep	;глубокий
a; shallow	;мелкий
a; clean	;чистый
a; dirty	;грязный
a; strong	;сильный
a; weak	;слабый
a; dead	;мертвый
a; alive	;живой, жив 
a; heavy	;тяжелый
a; light ;	легкий
a; dark	;темный
a; light ;	светлый
a; nuclear	;ядерный
a; famous	;известный
		
