kafea __ N __ n22oi __ kafé __ kahvila __ café __ MJ1 __ BUILDING


kaffi __ N __ n21 __ kaffe __ kahvi __ coffee __ MJ1 __ DRINK
kaffijuusto __ N __ n21 __ kaffeost __ kahvijuusto __ coffee cheese __ MJ10 __ FOOD_OTHER
kaffikattila __ N __ n22oi __ kaffekjele __ kahvipannu __ coffee kettle __ MJ11 __ KITCHEN
kaffikuppi __ N __ n21 __ kaffekopp __ kahvikuppi __ coffee cup __ MJ12 __KITCHEN
kainu __ N __ n21 __ kvensk __ kveeni __ Kven language __ MJ1 __ LANGUAGE
kakko __ N __ n21 __ kake __ kakku __ cake __ MJ2 __ FOOD_DISH
kalafaprikki __ N __ n22odd __ fiskefabrikk __ kalatehdas __ fish factory __ MJ13 __ BUILDING
kalavelli __ N __ n21 __ fiskesuppe __ kalakeitto __ fish soup __ MJ5 __ FOOD_DISH
kanki __ N __ n21 __ gang __ eteinen __ entré __ MJ10 __ ROOM
kansankorkkeekoulu __ N __ n21 __ folkehøyskole __ kansankorkeakoulu __ folk university college __ MJ13 __ SCHOOL
kattila __ N __ n22oi __ kjele __ kattila __ kettle __ MJ11 __ KITCHEN
kattilakahvi__ N __ n21 __ pannekaffe __ pannukahvi __ coffee __ MJ11 __ DRINK 
kaula __ N __ n21 __ hals __ kaula __ neck __ MJ9 __ BODYPART
kauppa __ N __ n21 __ butikk __ kauppa __ shop __ MJ9 __ SHOP
kauppareissu __ N __ n21 __ handletur,tur til butikken __ kauppareissu __ a trip to the shop __ MJ10 __ ROAD
kaupunki __ N __ n22odd __ by __ kaupunki __ city __ MJ8 __ NATURE
kaveri __ N __ n22odd __ kamerat __ kaveri __ friend __ MJ4 __ FAMILY

kello __ N __ n21 __ klokka __ kello __ clock __ MJ4 __ TIME
kenkä __ N __ n21 __ sko __ kenkä __ shoe __ MJ8 __ CLOTHING
kenttä __ N __ n21 __ gårdsplass, slette, eng __ piha, niitty __ yard,flatmark, meadow __ MJ1 __ NATURE_PLACE
kerta __ N __ n21 __ gang __ kerta __ once __ MJ12 __ TIME 
keskipäivä __ N __ n21 __ middag, midt på dagen __ päivällinen, keskipäivä__ dinner __ MJ7 __ FOOD_OTHER, TIME
kesä __ N __ n21 __ sommer __ kesä __ summer __ MJ5 __ TIME

kieli __ N __ n21ie __ språk, tunge __ kieli __ language, tongue __ MJ1 __ LANGUAGE, BODYPART
kino __ N __ n21 __ kino __ elokuvateatteri __ cinema __ MJ6 __ BUILDING
kinosali __ N __ n21 __ kinosal __ elokuvasali __ cinema auditorium __ MJ7 __ ROOM
kirja __ N __ n21 __ bok __ kirja __ book __ MJ1 __ TEXT
kirjailiija __ N __ n22oi __ forfatter __ kirjailija __ writer __ MJ1 __ PROFESSION
klasi __ N __ n21 __ vindu __ ikkuna __ window __ MJ2 __ ROOM_PART
kleninki __ N __ n22 __ kjole __ leninki __ dress __ MJ8 __ CLOTHING

kläppi __ N __ n21 __ barn __ lapsi __ child __ MJ12 __ FAMILY
konto __ N __ n21 __ tåke __ sumu __ fog __ MJ14 __WEATHER
kortti __ N __ n21 __ kort __ kortti __ card __ MJ2 __ THING
korva __ N __ n21 __ øre __ korva __ ear __ MJ9 __ BODYPART
kotohuonet __ N __ n33t __ hjemhus __ kotitalo __ house __ MJ5 __ BUILDING
kotokylä __ N __ n21 __ hjembygd __ kotikylä __ native district __ MJ5 __ NATURE_PLACE
kotopaikka __ N __ n21 __ hjemplass __ kotipaikka __ district of origin __ MJ5 __ NATURE_PLACE
kototalo __ N __ n21 __ barndomshjem __ kotitalo __ parents´home __ MJ11 __ BUILDING
koulu __ N __ n21 __ skole __ koulu __ school __ MJ12 __ SCHOOL, BUILDING
kranni __ N __ n21 __ nabo __ naapuri __ neighbour __ MJ11 __ FAMILY
kroppi __ N __ n21 __ kropp __ vartalo __ body __ MJ12 __ BODYPART
kruunu __ N __ n21 __ krone __ kruunu __ crown __ MJ2 __ FINANCE
kukka __ N __ n21 __ blomster __ kukka __ flower __ MJ10 __ PLANT
kulta __ N __ n21 __ kjære __ kulta __ darling __ MJ13 __ FAMILY

kulttuuri __ N __ n22odd __ kultur __ kulttuuri __ culture __ MJ1 __ ABSTRACT
kumppani __ N __ n22odd __ kamerat __ kumppani __ friend __ MJ13 __ FAMILY
kuningas __ N __ n33sodd __ konge __ kuningas __ king __ MJ7 __ PROFESSION
kuppi __ N __ n21 __ kopp __ kuppi __ cup __ MJ8 __ KITCHEN, CONTAINER
kvartti __ N __ n21 __ kvarter __ vartti __ fifteen minutes __ MJ11 __ TIME
kuva __ N __ n21 __ bilde __ kuva __ picture __ MJ14 __ THING
kylrötteri __ N __ n22odd __ gulrot __ porkkana __ carrot __ MJ10 __ FOOD_GROCERY
kylä __ N __ n21 __ bygd, grend, landsby __ kylä __ village __ MJ5 __ NATURE_PLACE
kysymys __ N __ n41 __ spørsmål __ kysymys __ question __ MJ14 __ ABSTRACT
käsi __ N __ n31si __ hånd __ käsi __ hand __ MJ9 __ BODYPART
käsifuuni __ N __ n21 __ mobiltelefon __ kännykkä __ mobile phone __ MJ3 __ THING
köökki __ N __ n21 __ kjøkken __ keittiö __ kitchen __ MJ10 __ ROOM


laakerilehti __ N __ n21ie __ læurbærblad __ laakerinlehti __ bay leaf __ MJ10 __ FOOD_OTHER
laattii __ N __ n23ii __ gulv __ lattia __ floor __ MJ13 __ ROOM_PART
labyrintti __ N __ n22 __ labyrint __ labyrintti __ labyrinth __ MJ14 __ ROOM
laiva __ N __ n21 __ båt __ vene __ boat __ MJ14 __ VEHICLE
lakki __ N __ n21 __ lue __ lakki __ cap __ MJ14 __ CLOTHING
lappii __ N __ n23ii __ spade __ lapio __ spade __ MJ14 __ THING
lapsi __ N __ n31lapsi __ barn __ lapsi __ child __ MJ11 __ FAMILY
laukku __ N __ n21 __ veske __ laukku __ bag __ MJ3 __ CONTAINER
lauvantai __ N __ n1 __ lørdag __ lauantai __ Saturday __ MJ7 __ TIME
lehti __ N __ n21ie __ blad __ lehti __ leaf __ MJ12 __ PLANT
leipä __ N __ n21 __ brød __ leipä __ bread __ MJ10 __FOOD_GROCERY
leipäfati __ N __ n21 __ brødfat __ leipälautanen __ bread plate __ MJ10 __KITCHEN
leuka __ N __ n21 __ hake __ leuka __ chin __ MJ9 __ BODYPART
liitteri __ N __ n22odd __ liter __ litra __ litre __ MJ10 __ KITCHEN
lintu __ N __ n21 __ fugl __ lintu __ bird __ MJ12 __ BIRD
loota __ N __ n21 __ eske __ laatikko __ box __ MJ8 __ CONTAINER
loppu __ N __ n21 __ slutt __ loppu __ end __ MJ7 __ ABSTRACT
lumi __ N __ n21m __ snø __ lumi __ snow __ MJ1 __ SNOW
lusikka __ N __ n22oi __ skje, skei __ lusikka __ spoon __ MJ10 __ KITCHEN
luku __ N __ n21 __ tall __ luku __ number __ MJ7 __ ABSTRACT
läksy __ N __ n21 __ lekse __ läksy __ home work __ MJ4 __ SCHOOL
lööki __ N __ n21 __ løk __ sipuli __ onion __ MJ10 __ FOOD_GROCERY

maailma __ N __ n21 __ verden __ maailma __ world __ MJ13 __ NATURE
maapala __ N __ n21 __ jordstykke __ maapala __ plot, parcel of land __ MJ11 __ NATURE
maa __ N __ n1 __ jord, land __ maa __ ground, land __ MJ11 __ NATURE
maito __ N __ n21 __ melk __ maito __ milk __ MJ2, MJ12 __ DRINK
maisema __ N __ n22 __ landskap __ maisema __ landscape __ MJ5 __ NATURE_OTHER
maksovehjet__ N __ n33t __ kortautomat __ korttiautomaatti __ cashpoint __ MJ2 __ TOOL
margariini __ N __ n22 __ margarin __ margariini __ margarine __ MJ10 __ FOOD_GROCERY
marja __ N __ n21 __ bær __ marja __ berry __ MJ12 __ FOOD_OTHER
marmelaati __ N __ n22 __ marmelade __ marmelaati __ marmelade __ MJ2 __ FOOD_GROCERY
masiini __ N __ n22odd __ maskin __ kone __ machine __ MJ14 __ TOOL
matematikki __ N __ n22odd __ matematikk __ matematiikka __ mathematics __ MJ3 __ EDUCATION
materivanhiimet __ N __ nx __ forfedre __ esivanhemmat __ ancestors __ MJ14 __ FAMILY
meri __ N __ n21 __ hav, sjø __ meri __ ocean, sea __ MJ5 __ NATURE_PLACE
mies __ N __ n31mies __ mann __ mies __ man __ MJ5, MJ11 __ PEOPLE
mieli __ N __ n21ie __ mening, humør __ mieli __ meaning, temper __ MJ11 __ ABSTRACT, FEELING
musikki __ N __ n22odd __ musikk __ musiikki __ music __ MJ13 __ SOUND 
mustikka __ N __ n22oi __ blåbær __ mustikka __ blueberry __ MJ12 __ FOOD_BERRY
muori __ N __ n21 __ mor __ äiti __ mother __ MJ5 __ FAMILY

naama __ N __ n21 __ ansikt __ kasvot, naama __ face __ MJ9 __ BODYPART
nahkasaapas __ N __ n33s __ skinnstøvel __ nahkasaapas __ boot __ MJ8 __ CLOTHING
nainen __ N __ n42 __ kvinne __ nainen __ woman __ MJ7 __ PEOPLE
nasunaliteetti __ N __ n21 __ nasjonalitet __ kansallisuus __ nationality __ MJ12 __ PEOPLE_OTHER
nenä __ N __ n21 __ nese __ nenä __ nose __ MJ9 __ BODYPART
nepu __ N __ n21 __ søskenbarn __ serkku __ cousin __ MJ11 __ FAMILY
netti __ N __ n21 __ Internett __ netti __ Internett __ MJ9 __ TEXT_OTHER
niemi __ N __ n21ie __ nes __ niemi __ headland __ MJ5 __ NATURE_PLACE
nimi __ N __ n21ie __ navn __ nimi __ name __ MJ7 __ PEOPLE_ID
nojatooli __ N __ n21 __ lenestol __ nojatuoli __ armchair __ MJ11 __ ROOM_OTHER
nälkä __ N __ n21 __ sult __ nälkä __ hunger __ MJ2 __ ABSTRACT
näkö __ N __ n21 __ lys, syn __ valo, näkö __ light __ MJ12 __ ROOM_OTHER

opettaaja __ N __ n22 __ lærer __ opettaja __ teacher __ MJ4 __ PROFESSION
opetus __ N __ n41 __ undervisning __ opetus __ teaching __ MJ13 __ EDUCATION
oppitiima __ N __ n21 __ leksjon, undervisningstime __ oppitunti __ lesson __ MJ4 __ EDUCATION
orkesteri __ N __ n22 __ orkester __ orkesteri __ orchestra __ MJ13 __ SOUND
osa __ N __ n21 __ del, andel __ osa __ part __ MJ14 __ ABSTRACT 
ostosentteri __ N __ n21 __ kjøpesenter __ ostoskeskus __ shopping centre  __ MJ8 __ BUILDING
outa __ N __ n21 __ skog __ metsä __ forest __ MJ5 __ NATURE_PLACE
ovi __ N __ n21ie __ dør __ ovi __ door __ MJ5 __ ROOM_PART
ovikello __ N __ n21 __ dørklokke __ ovikello __ door bell __ MJ10 __ROOM_OTHER

paaro __ N __ n21 __ bølge __ aalto __wave __ MJ5 __ NATURE_WATER
paati __ N __ n21 __ baderom __ kylpyhuone __ bathroom __ MJ12 __ ROOM
paikka __ N __ n21 __ sted __ paikka __ place __ MJ4 __ NATURE_PLACE
