LEMMA __ POS __ TYPE __ NOB __ FIN __ ENG __ SEM __ BOOK
paljon __ Adv __ x __ mye __ paljon __ much __ FINANCE_V, FOOD_ADV __ MJ2 
piian __ Adv __ x __ kanskje __ ehkä __ maybe __ HUMAN_ADV __ MJ1 
pois __ Adv __ x __ bort, vekk __ pois __ away __ PEOPLE_ID_ADV __ MJ1 
pääle __ Adv __ x __ på __ pääle __ on __ FURNITURE_ADV, ROOM_ADV __ MJ2 
samoten __ Adv __ x __ på samme måte __ samoin __ in the same way __ ACTION_ADV, MOVEMENT_ADV __ MJ4 
senthään __ Adv __ x __ likevel __ sentään __ after all __ ACTION_ADV, MOVEMENT_ADV __ MJ1 
sikkaristi __ Adv __ x __ sikkert __ varmasti __ certainly __ SOUP_ADV __ MJ2 
silloin __ Adv __ x __ da __ silloin __ by then __ TIME_ADV __ MJ3 
sitte __ Adv __ x __ da, så,siden __ sitten __ then __ TIME_ADV __ MJ1 
taas __ Adv __ x __ igjen __ taas __ again __ TIME_ADV __ MJ3 
tietenki __ Adv __ x __ selvsagt, selvfølgelig, så klart __ tietenkin, tietysti __ of course __ ACTION_ADV, MOVEMENT_ADV  __ MJ1 
tođesti __ Adv __ x __ på alvor, alvorlig, bestemt __ todella __ earnestly, seriously __ ACTION_ADV __ MJ4 
tyhä __ Adv __ x __ bare __ vain __ only __ ACTION_ADV __ MJ2 
tääpänä __ Adv __ x __ i dag __ tänään __ today __ TIME_ADV __ MJ1 
ulkona __ Adv __ x __ ute __ ulkona __ outside __ NATURE_ADV __ MJ3 
ushein __ Adv __ x __ ofte __ usein __ often __ TIME_ADV __ MJ1 
vain __ Adv __ x __ bare __ vain __ only __ ACTION_ADV __ MJ1 
varhain __ Adv __ x __ alltid __ aina __ always __ TIME_ADV __ MJ1 
vasta __ Adv __ x __ først, ikke før, nylig __ vasta __ first, not before, recently  __ ACTION_ADV, MOVEMENT_ADV __ MJ1 
vielä __ Adv __ x __ ennå, enda __ vielä __ still, yet __ ACTION_ADV, MOVEMENT_ADV __ MJ1 
viimen __ Adv __ x __ endelig, til slutt, sist __ viimein,lopulta, viimeksi __ finally, last __ TIME_ADV  __ MJ4 
vähän __ Adv __ x __ litt, lite __ vähän __ a little, some __ FINANCE_ADV, FOOD_ADV __ MJ2 
vähäsen __ Adv __ x __ litt, lite __ vähän __ a little, some __ FINANCE_ADV, FOOD_ADV  __ MJ3 
väärin __ Adv __ x __ feil, galt __ väärin __ wrong __ PEOPLE_ADV __ MJ1 
yhđessä __ Adv __ x __ sammen __ yhdessä __ together __ PEOPLE_ADV __ MJ3 
hyvin se mennee __ MWE __ x __ det går bra __ kuuluu hyvää __ fine, thanks __ EXPRESSIONS __ MJ1 
kunka se mennee __ MWE __ x __ hvordan går det __ mitä kuuluu __ how are you __ EXPRESSIONS __ MJ1 
kunka paljon se tekkee __ MWE __ x __ hvor mye koster det? -- mitä se maksaa? __ MJ2 __ EXPRESSIONS __
aikkoot __ V __ v2 __ tenke, ha mening’  __ aikoa __ think, have in mind __ HUMAN_V __ MJ8 
alkkaat __ V __ v2 __ begynne __ alkaa __ begin __ TIME_V __ MJ6 
aueta __ V __ v43odd __ åpne seg __ aueta __ open __ NATURE_V __ MJ5 
freistata __ V __ v43odd __ prøve __ kokeilla __ try __ HUMAN_V, AUX_V __ MJ6 
henkkaat __ V __ v2 __ henge __ riippua __ hang __ XXX __ MJ8 
herätä __ V __ v43odd __ våkne __ herätä __ wake up __ HUMAN_V  __ MJ6 
hihtaat __ V __ v2 __ gå på ski __ hiihtää __ ski __ MOVEMENT_V, NATURE_V __ MJ7 
hoksata __ V __ v43odd __ komme på, finne ut __ hoksata, huomata __ find out, notice __ HUMAN_V  __ MJ7 
huokaista __ V __ v3ise __ sukke __ huokaista __ sigh __ HUMAN_V  __ MJ6 
viippyyt __ V __ v2 __ drøye, bli lenge, forbli __ viipyä __ stay, remain, make something last __ HUMAN_V __ MJ8 
kađota __ V __ v43odd __ forsvinne __ kadota __ disappear __ ACTION_V __ MJ5 
kattella __ V __ v3eleodd __ se på __ katsella __ watch, look at __ HUMAN_V __ MJ5 
kaupata __ V __ v43odd __ drive handel, shoppe __ käydä ostoksilla __ shop, go shopping __ HUMAN_V, SHOP_V  __ MJ8 
kuuluut __ V __ v2 __ høres, høre til __ kuulua __ sound, belong to __ HUMAN_V __ MJ6 
kävelä __ V __ v3ele __ gå til fots, ferdes __ kävellä __ walk __ MOVEMENT_V __ MJ8 
käyđä __ V __ v1 __ gå, ta en tur, besøke __ käydä __ visit __ MOVEMENT_V __ MJ7 
käyttäät __ V __ v2 __ bruke __ käyttää __ use __ ACTION_V __ MJ8 
laittaat __ V __ v2 __ lage, gjøre __ laittaa __ make __ HUMAN_V __ MJ7 
laukkoot __ V __ v2 __ løpe, springe __ juosta __ run __ HUMAN_V __ MJ7 
luvata __ V __ v43odd __ love, gi lov __ luvata __ promise __ HUMAN_V __ MJ7 
löyttäät __ V __ v2 __ finne __ löytää __ find __ HUMAN_V __ MJ8 
löyttyyt __ V __ v2 __ finnes __ löytyä __ exist __ SHOP_V __ MJ8 
maata __ V __ v43odd __ ligge __ maata __ lie __ HUMAN_V  __ MJ5 
mutista __ V __ v3 __ mumle __ mutista __ mutter __ HUMAN_V __ MJ7 
myönttyyt __ V __ v2 __ samtykke, gi etter __ myöntyä __ agree __ HUMAN_V __ MJ6 
nukkuut __ V __ v2 __ sove __ nukkua __ sleep __ HUMAN_V __ MJ6 
näkkyyt __ V __ v2 __ synes,være synlig, se ut til __ näkyä __ appear, to be visible __ HUMAN_V __ MJ5 
ostaat __ V __ v2 __ kjøpe __ ostaa __ buy __ HUMAN_V __ MJ7 
pröövätä __ V __ v43odd __ prøve __ kokeilla __ try __ HUMAN_V __ MJ8 
puđistaat __ V __ v2 __ riste __ pudistaa __ shake __ HUMAN_V __ MJ8 
päästä __ V __ v3ise __ slippe til, komme fram til, bli fri fra noe __ päästä __ manage to get into or out of something, be set fri __ MOVEMENT_V, AUX_V  __ MJ5 
pölästyyt __ V __ v2 __ bli skremt __ pelästyä __ be scared __ HUMAN_V __ MJ5 
reisata __ V __ v43odd __ reise __ matkustaa __ travel __ HUMAN_V __ MJ7 
rinkastaat __ V __ v2 __ ringe __ soittaa __ call __ HUMAN_V __ MJ6 
soittaat __ V __ v2 __ spille __ soittaa __ play music __ HUMAN_V  __ MJ7 
taajoot __ V __ v2 __ tulle __ höpötä, hulluttele __ be silly __ HUMAN_V __ MJ8 
tahtoot __ V __ v2 __ ville, ønske __ tahtoa __ want, wish __ HUMAN_V __ MJ8 
tapattuut __ V __ v2 __ hende, skje __ tapahtua __ happen __ HUMAN_V __ MJ7 
tuula __ V __ v3eleshort __ blåse __ tuulla __ blow, be windy __ HUMAN_V __ MJ5 
unistella __ V __ v3ele __ drømme __ nähdä unta __ dream __ HUMAN_V __ MJ5 
harmaaja __ A __ a22odd __ grå __ harmaa __ grey __ COLOUR_A, CLOTHES_A __ MJ5 
korkkee __ A __ a23 __ høy __ korkea __ high __ BUILDING_A __ MJ5 
kummalinen __ A __ a42 __ underlig __ kummallinen __ strange, odd __ HUMAN_A __ MJ5 
matala __ A __ a22odd __ lav __ matala __ low __ BUILDING_A __ MJ5 
opas __ A __ a33s __ kjent med noe __ tuttu __ familiar __ HUMAN_A __ MJ5 
syvä __ A __ a21 __ dyp __ syvä __ deep __ NATURE_A __ MJ35 
valkkee __ A __ a23 __ hvit __ valkoinen __ white __ COLOUR_A,CLOTHES_A __ MJ5 
valmis __ A __ a33si __ ferdig __ vamis __ ready __ HUMAN_A __ MJ5 
vanhaa __ A __ ax __ gammel __ vanha __ old __ HUMAN_A __ MJ5 
vieras __ A __ a33s __ fremmed __ vieras __ foreign, unfamiliar __ HUMAN_A __ MJ5 
alattiolainen __ A __ a42 __ altaværing __ alattiolainen __ a person from Alta __ HUMAN_A __ MJ7 
historialinen __ A __ a42 __ historisk __ historiallinen __ historic, historical __ ABSTRACT_A __ MJ7 
kamala __ A __ a22odd __ forferdelig __ kamala __ terrible, awful __ HUMAN_A __ MJ7 
minkälainen __ A __ a42 __ hvordan, hva slags __ minkälainen, millainen __ how, like what __ ABSTRACT_A __ MJ7 
parempi __ A __ ax __ bedre __ parempi __ better __ CLOTHES_A, ABSTRACT_A __ MJ7 
seuraava __ A __ a22odd __ neste __ seuraavaa __ next __ ABSTRACT_A __ MJ7 
tärkkee __ A __ a23 __ viktig __ tärkeä __ important __ ABSTRACT_A, HUMAN_A __ MJ7 
ylppee __ A __ a23 __ stolt __ ylpeä __ proud __ HUMAN_A __ MJ7 
halpa __ A __ a21 __ billig __ halpa __ cheap __ CLOTHES_A __ MJ8 
kappee __ A __ a23 __ smal __ kapea __ small close, narrow __ CLOTHES_A __ MJ8 
lyhykäinen __ A __ a42 __ kort __ lyhyt __ short __ CLOTHES_A, HUMAN_A __ MJ8 
oikkee __ A __ a23 __ riktig, høyre __ oikea __ correct,right __ ABSTRACT_A __ MJ8 
oranssi __ A __ a22odd __ oransje __ oranssi __ orange __ COLOUR_A, CLOTHES_A __ MJ8 
passeli __ A __ a22odd __ passende __ sopiva __ suitable __ CLOTHES_A __ MJ8 
pruuni __ A __ a21 __ brun __ ruskea __ brown __  COLOUR_A, CLOTHES_A __ MJ8 
punainen __ A __ a42odd __ rød __ punainen __ red __ COLOUR_A, CLOTHES_A __ MJ8 
keltainen __ A __ a42odd __ gul __ keltainen __ yellow __ COLOUR_A, CLOTHES_A __ MJ8 
sievä __ A __ a21 __ nett, søt __ sievä __ pretty, sweet __ HUMAN_A, CLOTHES_A __ MJ8 
sininen __ A __ a42odd __ blå __ sininen __ blue __ COLOUR_A, CLOTHES_A __ MJ8 
uusi __ A __ a31si __ ny __ uusi __ new __ CLOTHES_A, ABSTRACT_A __ MJ8 
vihrinen __ A __ a42odd __ grønn __ vihreä _ green __ MJ8  __ COLOUR_A, CLOTHES_A
ulos __ Adv __ ut __ ulos __ out __ MJ5  __ MOVEMENT_ADV
ympärille __ Adv __ rundt, omkring __ ympärille __ round, around, about __ MJ5  __ PEOPLE_ADV,BUILDING_ADV
välissä __ Adv __ mellom __ välissä __ between __ MJ5  __ BUILDING_ADV, PEOPLE_ADV
kohta __ Adv __ snart, straks __ kohta __ soon __ MJ5  __ TIME_ADV
käsin __ Adv __ i retning av, for hånd __ päin, käsin __ towards, by hand __ MJ5  __ MOVEMENT_ADV
melkhein __ Adv __ nesten, temmelig, ganske __ melkein __ nearly, almost __ MJ5  __ TIME_ADV
ei olheen __ MWE __ ikke i det hele tatt __ ei ollenkaan __ not at all __ MJ5  __ ABSTRACT_ADV
samassa __ Adv __ med en gang, i det samme, samtidig __ samassa, yhtä aikaa __ at once, at the very moment,at the same time __ MJ5  __ TIME_ADV
sisäle __ Adv __ inn, inn i __ sisälle __ in __ MJ5  __ BUILDING_ADV
uloskäsin __ Adv __ lengere ut __ kauempana __ farther away __ MJ5  __ NATURE_ADV, BUILDING_ADV
ei kuitenkhaan __ MWE __ likevel ikke, i hvert fall ikke __ ei kuitenkaan __ not anyway __ MJ6  __ ABSTRACT_ADV
pitkhään __ Adv __ lenge __ pitkään, kauan __ a long time __ MJ6  __ TIME_ADV
ylös __ Adv __ opp __ ylös __ up __ MJ7  __ BUILDING_ADV
eđessä __ Po __ foran __ edessä __ in front of __ MJ7  __ BUILDING_ADV
jälkhiin __ Adv __ etter, etterpå, senere __ jälkeen __ after __ MJ7  __ PEOPLE_ADV
tykönä __ Po __ hos __ luona __ at, with __ MJ7  __ PEOPLE_ADV
hopusti __ Adv __ fort, i full fart __ nopeasti __ quickly __ MJ7  __ PEOPLE_ADV
kauvoin __ Adv __ lenge __ kauan __ long, a long time __ MJ7  __ TIME_ADV
kothiin __ Adv __ hjem __ kotiin __ home __ MJ7  __ MOVEMENT_ADV
kuulemin __ Adv __ på gjensyn __ kuulemiin __ good by __ MJ7  __ PEOPLE_ADV
paremin __ Adv __ bedre __ paremmin __ better __ MJ7  __ PEOPLE_ADV
siis __ Adv __ altså __ siis __ so __ MJ7  __ ABSTRACT_ADV
takaisin __ Adv __ tilbake __ takaisin __ back __ MJ7  __ MOVEMENT_ADV
ennen __ Adv __ før, tidligere __ ennen __ before __ MJ8  __ TIME_ADV
nokko __ Adv __ nok __ tarpeeksi __ enough __ MJ8  __ PEOPLE_ADV
nyt __ Adv __ nå __ nyt __ now __ MJ8  __ TIME_ADV
hammas __ N __ n33s __ tann __ hammas __ tooth __ BODYPART __ MJ9 
hamppu __ N __ n21 __ hamp __ hamppu __ hemp __ THING __ MJ9 
hykset __ N __ n41pl __ hår __ hiukset __ hair __ BODYPART_PL __ MJ9 
ihmet __ N __ n21 __ under __ ihme __ wonder __ ABSTRACT __ MJ9 
jalkapallo __ N __ n21 __ fotball __ jalkapallo __ football __ THING __ MJ9 
katu __ N __ n21 __ gate __ katu __ street __ NATURE __ MJ9 
kaula __ N __ n21 __ hals __ kaula __ neck __ BODYPART __ MJ9 
kauppa __ N __ n21 __ butikk __ kauppa __ shop __ SHOP __ MJ9 
korva __ N __ n21 __ øre __ korva __ ear __ BODYPART __ MJ9 
kranttu __ A __ a21 __ nøye, var, kresen __ tarkka, valikoiva __ selective, pedantic, particular __ HUMAN_A __ MJ9 
kumara __ A __ a22odd __ kroket, krøkt __ kumara __ hunch, bent, crooked __ HUMAN_A __ MJ9 
käsi __ N __ n31si __ hånd __ käsi __ hand __ BODYPART __ MJ9 
leuka __ N __ n21 __ hake __ leuka __ chin __ BODYPART __ MJ9 
naama __ N __ n21 __ ansikt __ kasvot, naama __ face __ BODYPART __ MJ9 
nenä __ N __ n21 __ nese __ nenä __ nose __ BODYPART __ MJ9 
netti __ N __ n21 __ Internett __ netti __ Internett __ TEXT_OTHER __ MJ9 
onneton __ A __ a43odd __ ulykkelig __ onneton __ unhappy __ HUMAN_A __ MJ9 
paha __ A __ a21 __ ond, dårlig __ paha __ bad __ HUMAN_A, ABSTRACT_A __ MJ9 
paita __ N __ n21 __ skjorte __ paita __ shirt __ CLOTHING __ MJ9 
pakka __ N __ n21 __ pakke __ paketti __ package __ THING, CONTAINER __ MJ9 
peili __ N __ n21 __ speil __ peili __ mirror  __ ROOM_OTHER __ MJ9 
polli __ N __ n21 __ bolle __ pulla __ bun __ FOOD_DISH __ MJ9 
poski __ N __ n21ie __ kinn __ poski __ cheek __ BODYPART __ MJ9 
prikku __ N __ n21 __ prikk, flekk __ pilkku, tahra __ prick, stain __ BODYPART, CLOTHING_OTHER __ MJ9 
pussi __ N __ n21 __ pose __ pussi __ bag __ CONTAINER __ MJ9 
reisi __ N __ n31si __ lår __ reisi __ thigh __ BODYPART __ MJ9 
rinta __ N __ n21 __ bryst __ rinta __ breast, chest __ BODYPART __ MJ9 
ruma __ A __ a21 __ stygg __ ruma __ ugly __ HUMAN_A __ MJ9 
sika __ N __ n21 __ gris __ sika __ pig __ ANIMAL_DOM __ MJ9 
silmä __ N __ n21 __ øye __ silmä __ eye __ BODYPART __ MJ9 
suu __ N __ n1 __ munn __ suu __ mouth __ BODYPART __ MJ9 
sölkä __ N __ n21 __ rygg __ selkä __ back __ BODYPART __ MJ9 
vatta __ N __ n21 __ mage __ vatsa __ stomach __ BODYPART __ MJ9 
haukkuut __ V __ v2 __ bjeffe, bebreide, klage __ haukkua __ bark, blame, criticise __ VERBAL_V __ MJ9 
perustaat __ V __ v2 __ bry seg om __ välittää __ care about something __ HUMAN_V  __ MJ9 
pilkata __ V __ v43odd __ spotte, håne, gjøre narr av __ pilkata __ mock __ HUMAN_V __ MJ9 
helppo __ A __ a21 __ lett __ helppo __ easy __ ABSTRACT_A, EXPERIENCE_A __ MJ9 
suuri __ A __ a31 __ stor __ suuri __ large, big __ CLOTHES_A __ MJ9 
tyyhä __ A __ a21 __ tom __ tyhjä __ empty __ ABSTRACT_A __ MJ9 
tyyris __ A __ a33si __ dyr __ kallis __ expencive __ CLOTHES_A __ MJ9 
äkkii __ Adv __ fort, i full fart __ äkkiä __ quickly __ MJ9  __ TIME_ADV, PEOPLE_ADV
dilli __ N __ n21 __ dill __ tilli __ dill __ FOOD_OTHER __ MJ10 
fati __ N __ n21 __ fat __ vati __ plate __ KITCHEN __ MJ10 
frisyyri __ N __ n22odd __ frisyre __ kampaus __ hairstyle __ THING __ MJ10 
fryysi __ N __ n21 __ fryseboks __ pakastin __ freezer __ KITCHEN __ MJ10 
haiju __ N __ n21 __ lukt __ haju __ smell __ PERCEPTION  __ MJ10 
herraväki __ N __ n21 __ herskap __ herrasväki __ gentry __ PEOPLE __ MJ10 
hilla __ N __ n21 __ molte __ hilla __ cloudberry __ FOOD_BERRY __ MJ10 
hyysikkä __ N __ n22odd __ do __ vessa __ toilet __ ROOM __ MJ10 
höystö __ N __ n21 __ krydder __ mauste __ spice __ KITCHEN_OTHER __ MJ10 
juoma __ N __ n21 __ drikk __ juoma __ drink __ DRINK __ MJ10 
juusto __ N __ n21 __ ost __ juusto __ cheese __ FOOD_GROCERY __ MJ10 
jääkaappi __ N __ n21 __ kjøleskap __ jääkaappi __ fridge __ KITCHEN __ MJ10 
kaffijuusto __ N __ n21 __ kaffeost __ kahvijuusto __ coffee cheese __ FOOD_OTHER __ MJ10 
kanki __ N __ n21 __ gang __ eteinen __ entré __ ROOM __ MJ10 
kauppareissu __ N __ n21 __ handletur,tur til butikken __ kauppareissu __ a trip to the shop __ ROAD __ MJ10 
kukka __ N __ n21 __ blomster __ kukka __ flower __ PLANT __ MJ10 
kylrötteri __ N __ n22odd __ gulrot __ porkkana __ carrot __ FOOD_GROCERY __ MJ10 
köökki __ N __ n21 __ kjøkken __ keittiö __ kitchen __ ROOM __ MJ10 
laakerilehti __ N __ n21ie __ læurbærblad __ laakerinlehti __ bay leaf __ FOOD_OTHER __ MJ10 
leipä __ N __ n21 __ brød __ leipä __ bread __ FOOD_GROCERY __ MJ10 
leipäfati __ N __ n21 __ brødfat __ leipälautanen __ bread plate __ KITCHEN __ MJ10 
liitteri __ N __ n22odd __ liter __ litra __ litre __ KITCHEN __ MJ10 
lusikka __ N __ n22oi __ skje, skei __ lusikka __ spoon __ KITCHEN __ MJ10 
lööki __ N __ n21 __ løk __ sipuli __ onion __ FOOD_GROCERY __ MJ10 
margariini __ N __ n22 __ margarin __ margariini __ margarine __ FOOD_GROCERY __ MJ10 
ovikello __ N __ n21 __ dørklokke __ ovikello __ door bell __ ROOM_OTHER __ MJ10 
pippuri __ N __ n22odd __ pepper __ pippuri __ pepper __ FOOD_GROCERY __ MJ10 
porstuu __ N __ n23 __ gang __ eteinen __ entré __ ROOM __ MJ10 
purjolööki __ N __ n21 __ purreløk __ purjosipuli __ leek __ FOOD_GROCERY __ MJ10 
puteetti __ N __ n22odd __ potet __ peruna __ potato __ FOOD_GROCERY __ MJ10 
pääassii __ N __ n23ii __ hovedsak __ pääasia __ main thing __ ABSTRACT __ MJ10 
päälysruoka __ N __ n21 __ dessert __ jälkiruoka __ dessert __ FOOD_DISH __ MJ10 
saita __ N __ n21 __ sei __ seiti __ saithe, coalfish __ FOOD_GROCERY, ANIMAL_SALTFISH __ MJ10 
suola __ N __ n21 __ salt __ suola __ salt __ FOOD_GROCERY __ MJ10 
talriikki __ N __ n22odd __ tallerk __ lautanen __ plate __ KITCHEN __ MJ10 
tooli __ N __ n21 __ stol __ tuoli __ stool __ ROOM_OTHER __ MJ10 
tupa __ N __ n21 __ hus, stue __ tupa __ cottage, living room __ BUILDING, ROOM __ MJ10 
veitti __ N __ n21ie __ kniv __ veitsi __ knife __ KITCHEN __ MJ10 
velli __ N __ n21 __ suppe, velling __ keitto, velli __ soup __ FOOD_DISH __ MJ10 
vesi __ N __ n31si __ vann __ vesi __ water __ DRINK __ MJ10 
vesimuki __ N __ n21 __ vannmugg __ vesimuki __ water mug __ KITCHEN __ MJ10 
voi __ N __ n1 __ smør __ voi __ butter __ FOOD_GROCERY __ MJ10 
aukaista __ V __ v3ise __ åpne __ aukaista __ open __ HUMAN_V __ MJ10 
auttaat __ V __ v2 __ hjelpe __ auttaa __ help __ HUMAN_V  __ MJ10 
henkastaat __ V __ v2 __ henge __ ripustaa __ hang __ HUMAN_V __ MJ10 
häärätä __ V __ v43odd __ styre, ståke __ häärätä __ bustle __ HUMAN_V __ MJ10 
jähtyyt __ V __ v2 __ kjølne, bli kald __ jäähtyä __ cool __ HUMAN_V __ MJ10 
keittäät __ V __ v2 __ koke __ keittää __ cook __ HUMAN_V __ MJ10 
pestä __ V __ v3ele __ vaske __ pestä __ wash __ HUMAN_V __ MJ10 
plokata __ V __ v43odd __ plukke __ poimia, kerätä __ pick, gather __ HUMAN_V __ MJ10 
riissuut __ V __ v2 __ kle av __ riisua __ undress __ HUMAN_V __ MJ10 
unheettaat __ V __ v2 __ glemme __ unohtaa __ forget __ HUMAN_V __ MJ10 
summastaat  __ V __ v2 __ kysse __ suudella __ kiss __ HUMAN_V  __ MJ11 
viskutella  __ V __ v3ele __ hviske __ kuiskata __ whisper __ VERBAL_V __ MJ11 
anssoot __ V __ v2 __ sette opp felle __ asettaa ansoja __ ?? __ NATURE_V __ MJ12 
friiata __ V __ v43odd __ ha følge med, fri til __ seurustella, kosia __ help __ HUMAN_V __ MJ12 
hävittäät __ V __ v2 __ ødelegge __ hävittää __ ruin, destroy __ HUMAN_V, OBJECT_V __ MJ12 
kaivata __ V __ v43odd __ savne __ kaivata __ miss __ HUMAN_V __ MJ12 
kielttäät __ V __ v2 __ nekte __ kieltää __ refuse, deny __ VERBAL_V __ MJ12 
korjata __ V __ v43odd __ ta vare på, samle inn, ta i bevaring, reparere, forbedre, rydde __ korjata, ottaa talten __ take care of, repair, tidy up __ HUMAN_V __ MJ12 
naiđa __ V __ v1 __ gifte seg __ mennä naimisiin __ marry __ HUMAN_V __ MJ12 
nauraat __ V __ v2 __ flire, le __ nauraa __ laugh __ HUMAN_V __ MJ12 
painaat __ V __ v2 __ trykke __ painaa __ press __ BODY_V __ MJ12 
pajeta __ V __ v4 __ rømme, flykte __ paeta __ escape, run away __ HUMAN_V __ MJ12 
polttaat __ V __ v2 __ brenne __ polttaa __ burn __ HUMAN_V, OBJECT_V __ MJ12 
pölätä __ V __ v43odd __ være redd __ pelätä __ to be afraid __ EXPERIENCE_V __ MJ12 
rakastaat __ V __ v2 __ elske __ rakastaa __ love __ HUMAN_V __ MJ12 
sammuttaat __ V __ v2 __ slukke __ sammuttaa __ put out, extinguish, turn off, switch off __ HUMAN_V, OBJECT_V __ MJ12 
vaihettaat __ V __ v2 __ bytte, skifte __ vaihtaa __ exchange,  __ HUMAN_V __ MJ12 
vieđä __ V __ v1 __ bringe, føre, lede, ta med seg  __ viedä __ bring, get, fetch __ HUMAN_V __ MJ12 
vettäät __ V __ v2 __ dra, trekke __ vetää __ draw __ HUMAN_V __ MJ12 
vihata __ V __ v43odd __ hate __ vihata __ hate __ HUMAN_V __ MJ12 
jääđä __ V __ v1 __ bli igjen, forbli  __ jäädä __ remain, stay __ HUMAN_V __ MJ13 
loppuuut __ V __ v2 __ slutte, ta slutt __ loppua __ end, terminate, finish __ HUMAN_V __ MJ13 
oppiit __ V __ v2 __ lære __ oppia __ learn __ HUMAN_V __ MJ13 
puristaat __ V __ v2 __ presse __ puristaa __ press __ HUMAN_V __ MJ13 
siirttyyt __ V __ v2 __ flytte __ siirtyä __ move __ MOVEMENT_V __ MJ13 
tansata __ V __ v43odd __ danse __ tanssia __ dance __ HUMAN_V __ MJ13 
tilata __ V __ v43odd __ bestille __ tilata __ order __ HUMAN_V __ MJ13 
työtelä __ V __ v3eleodd __ arbeide __ tehdä työtä, työskennellä __ work __ HUMAN_V __ MJ13 
ymmärttäät  __ V __ v2 __ forstå __ ymmärtää __ understand __ HUMAN_V __ MJ13 
elläät  __ V __ v2 __ leve __ elää __ live __ HUMAN_V __ MJ14 
eppäilä  __ V __ v3eleodd __ tvile __ epäillä __ doubt __ HUMAN_V __ MJ14 
hourata  __ V __ v43odd __ tulle __ höpsiä, höpöttää __ be silly __ VERBAL_V __ MJ14 
konsentreerata  __ V __ v43odd __ konsentrere __ keskittyä __ concentrate __ HUMAN_V __ MJ14 
kuttuut  __ V __ v2 __ invitere, be om å komme __ kutsua __ invite __ HUMAN_V __ MJ14 
lisätä  __ V __ v43odd __ tilsette, føye til, øke, ha mer __ lisätä __ increase, add __ HUMAN_V, VERBAL_V __ MJ14 
syklata  __ V __ v43odd __ sykle __ pyöräillä __ cycle __ MOVEMENT_V __ MJ14 
uskoot __ V __ v2 __ tro __ uskoa __ believe __ HUMAN_V __ MJ14 
vaatettiit  __ V __ v2 __ kle på seg __ pukeutua __ dress, put cloths on __ HUMAN_V __ MJ14 
viittiit  __ V __ v2 __ orke, gidde __ viitsiä __ be able to, be bothered to do something __ HUMAN_V, AUX_V __ MJ14 
pykätä __ V __ v43odd __ bygge __ rakentaa __ build __ HUMAN_V __ MJ11 
asumapari __ N __ n21 __ samboer __ avopuoliso __ partner __ FAMILY __ MJ11 
daattamasiini __ N __ n22odd __ datamaskin __ tietokone __ computer __ TOOL __ MJ11 
eno __ N __ n21 __ onkel __ eno __ uncle __ FAMILY __ MJ11 
kaappi __ N __ n21 __ skap __ kaappi __ cupbord __ KITCHEN __ MJ11 
kaffikattila __ N __ n22oi __ kaffekjele __ kahvipannu __ coffee kettle __ KITCHEN __ MJ11 
kattila __ N __ n22oi __ kjele __ kattila __ kettle __ KITCHEN __ MJ11 
kattilakahvi __ N __ n21 __ pannekaffe __ pannukahvi __ coffee __ DRINK  __ MJ11 
kototalo __ N __ n21 __ barndomshjem __ kotitalo __ parents´home __ BUILDING __ MJ11 
kranni __ N __ n21 __ nabo __ naapuri __ neighbour __ FAMILY __ MJ11 
kvartti __ N __ n21 __ kvarter __ vartti __ fifteen minutes __ TIME __ MJ11 
lapsi __ N __ n31lapsi __ barn __ lapsi __ child __ FAMILY __ MJ11 
maa __ N __ n1 __ jord, land __ maa __ ground, land __ NATURE __ MJ11 
maapala __ N __ n21 __ jordstykke __ maapala __ plot, parcel of land __ NATURE __ MJ11 
mieli __ N __ n31 __ mening, humør __ mieli __ meaning, temper __ ABSTRACT, FEELING __ MJ11 
mies __ N __ n31mies __ mann __ mies __ man __ PEOPLE __ MJ5, MJ11 
nepu __ N __ n21 __ søskenbarn __ serkku __ cousin __ FAMILY __ MJ11 
nojatooli __ N __ n21 __ lenestol __ nojatuoli __ armchair __ ROOM_OTHER __ MJ11 
peret __ N __ n33t __ familie __ perhe __ family __ FAMILY __ MJ11 
seinä __ N __ n21 __ vegg __ seinä __ wall __ ROOM_PART __ MJ11 
suku __ N __ n21 __ slekt __ suku __ family, relatives __ FAMILY __ MJ11 
syntymämerkki __ N __ n21 __ fødselsmerke __ syntymämerkki __ birthmark __ BODYPART __ MJ11 
särmi __ N __ n21 __ skjerm __ valkokangas __ screen __ THING __ MJ11 
talo __ N __ n21 __ gård, hus __ maatila, maatalo __ farming house __ BUILDING __ MJ11 
tomppeli __ N __ n22odd __ dumrian, tosk __ tomppeli __ fool __ PEOPLE __ MJ11 
tupapöytä __ N __ n21 __ stuebord __ pöytä __ table __ ROOM_OTHER __ MJ11 
täti __ N __ n21 __ tante __ täti __ aunt __ FAMILY __ MJ11 
vanhapoika __ N __ n21 __ ungkar __ vanhapoika __ bachelor __ PEOPLE __ MJ11 
kaffikuppi __ N __ n21 __ kaffekopp __ kahvikuppi __ coffee cup __ KITCHEN __ MJ12 
kerta __ N __ n21 __ gang __ kerta __ once __ TIME  __ MJ12 
kläppi __ N __ n21 __ barn __ lapsi __ child __ FAMILY __ MJ12 
koulu __ N __ n21 __ skole __ koulu __ school __ SCHOOL, BUILDING __ MJ12 
