LEMMA __ POS __ TYPE __ NOB __ FIN __ ENG __ SEM __ BOOK
muori __ N __ n21 __ mor __ äiti __ mother __ FAMILY __ MJ5 
nahkasaapas __ N __ n33s __ skinnstøvel __ nahkasaapas __ boot __ CLOTHING __ MJ8 
nainen __ N __ n42 __ kvinne __ nainen __ woman __ PEOPLE __ MJ7 
niemi __ N __ n21ie __ nes __ niemi __ headland __ NATURE_PLACE __ MJ5 
nimi __ N __ n21ie __ navn __ nimi __ name __ PEOPLE_ID __ MJ7 
nälkä __ N __ n21 __ sult __ nälkä __ hunger __ ABSTRACT __ MJ2 
opettaaja __ N __ n22 __ lærer __ opettaja __ teacher __ PROFESSION __ MJ4 
oppitiima __ N __ n21 __ leksjon, undervisningstime __ oppitunti __ lesson __ EDUCATION __ MJ4 
ostosentteri __ N __ n21 __ kjøpesenter __ ostoskeskus __ shopping centre  __ BUILDING __ MJ8 
outa __ N __ n21 __ skog __ metsä __ forest __ NATURE_PLACE __ MJ5 
ovi __ N __ n21ie __ dør __ ovi __ door __ ROOM_PART __ MJ5 
paaro __ N __ n21 __ bølge __ aalto __ wave __ NATURE_WATER __ MJ5 
paikka __ N __ n21 __ sted __ paikka __ place __ NATURE_PLACE __ MJ4 
persoona __ N __ n22odd __ person __ persoona __ person __ PEOPLE __ MJ7 
piili __ N __ n21 __ bil __ auto __ car __ VEHICLE __ MJ5 
piletti __ N __ n22odd __ billett __ lippu __ ticket __ THING __ MJ7 
plyysi __ N __ n21 __ bluse __ pusero __ bluse __ CLOTHING __ MJ8 
poika __ N __ n21 __ gutt __ poika __ boy __ FAMILY __ MJ3 
polvi __ N __ n21ie __ kne __ polvi __ knee __ BODYPART __ MJ8 
poro __ N __ n21 __ rein __ poro __ reindeer __ ANIMAL_OTHER __ MJ7 
pretta __ N __ n21 __ brett __ tarjotin __ tray __ KITCHEN __ MJ2 
pryysi __ N __ n21 __ brus __ limsa  __ soft drink __ DRINK __ MJ2 
prööviloma __ N __ n21 __ prøverom __ sovitushuone __ dressing room __ SHOP __ MJ8 
pumpulipuhet __ N __ n33t __ tullprat __ pötypuhe __ rubbish __ LANGUAGE __ MJ2 
puoli __ N __ n31 __ halv, side __ puoli __ half, side __ TIME_OTHER, ABSTRACT __ MJ4 
putikki __ N __ n22odd __ butikk __ kauppa __ shop __ SHOP __ MJ8 
pyssi __ N __ n21 __ buss __ bussi __ buss __ VEHICLE __ MJ3 
päivä __ N __ n21 __ dag __ päivä __ day __ TIME __ MJ1 
päälinen __ N __ n42odd __ fløte __ kerma __ cream __ FOOD_GROCERY __ MJ2 
päälyspiimä __ N __ n21 __ rømme __ hapanmaitotuote __ sour cream __ FOOD_GROCERY __ MJ2 
pää __ N __ n1 __ hode, ende __ pää __ head, end __ BODYPART __ MJ8 
pöytä __ N __ n21 __ bord __ pöytä __ table __ ROOM_OTHER __ MJ2 
raita __ N __ n21 __ stripe __ raita __ stripe __ CLOTHING_OTHER __ MJ8 
ranta __ N __ n21 __ strand __ ranta __ strand __ NATURE_PLACE __ MJ5 
reisu __ N __ n21 __ tur, reise __ retki, matka __ trip, journey __ TRAVELLING __ MJ7 
remu __ N __ n21 __ bråk __ melu __ noice __ SOUND __ MJ7 
restaurantti __ N __ n22 __ restaurant __ ravintola __ restaurant __ BUILDING __ MJ7 
rinnet __ N __ n33t __ skråning, li __ rinne __ hillside __ NATURE_PLACE __ MJ5 
rommaani __ N __ n22odd __ roman __ romaani __ novel __ TEXT __ MJ1 
ruoka __ N __ n21 __ mat __ ruoka __ food __ FOOD_OTHER __ MJ7 
koko __ N __ n21 __ størrelse __ koko __ size __ CLOTHING, ABSTRACT __ MJ8 
saapas __ N __ n33s __ støvel __ saapas __ boot __ CLOTHING __ MJ8 
saari __ N __ n31 __ øy __ saari __ island __ NATURE_PLACE __ MJ5 
siljo __ N __ n21 __ gårdsplass __ piha __ yard __ NATURE_PLACE __ MJ5 
sisar __ N __ n32 __ søster __ sisar __ sister __ FAMILY __ MJ5 
soffa __ N __ n21 __ sofa __ sohva __ sofa __ ROOM_OTHER __ MJ6 
sokkeri __ N __ n22odd __ sukker __ sokeri __ sugar __ FOOD_GROCERY __ MJ2 
spesiaalikaffi __ N __ n21 __ spesialkaffe __ erikoiskahvi __ special coffee __ FOOD_GROCERY __ MJ2 
spesiaaliputiikki __ N __ n22odd __ spesialbutikk __ erikoisliike __ special shop __ SHOP __ MJ8 
sukka __ N __ n21 __ strømpe __ sukka __ sock __ CLOTHING __ MJ8 
sukulaatikakko __ N __ n21 __ sjokoladekake __ suklaakakku __ chocolate cake __ FOOD_DISH __ MJ2 
syksy __ N __ n21 __ høst __ syksy __ autumn __ TIME __ MJ1 
syyspäivä __ N __ n21 __ høstdag __ syyspäivä __ autumn day __ TIME __ MJ1 
sänky __ N __ n21 __ seng __ sänky __ bed __ ROOM_OTHER __ MJ5 
säätieđotus __ N __ n21 __ værmelding __ säätiedotus __ weather report __ TEXT __ MJ1 
T-paita __ N __ n21 __ T-skjorte __ T-paita __ T-shirt __ CLOTHING __ MJ8 
talvi __ N __ n21ie __ vinter __ talvi __ winter __ TIME __ MJ8 
tee __ N __ n1 __ te __ tee __ tea __ DRINK __ MJ2 
tie __ N __ n1 __ vei __ tie __ way __ ROAD __ MJ5 
tiima __ N __ n21 __ time __ tunti __ hour __ TIME __ MJ4 
tiski __ N __ n21 __ disk __ tiski, myyntipöytä __ counter __ ROOM_OTHER __ MJ2 
tooki __ N __ n21 __ tog __ juna __ train __ VEHICLE __ MJ7 
tosi __ N __ n31si __ sannhet __ tosi __ true __ ABSTRACT __ MJ7 
tröijy __ N __ n21 __ ulltrøye __ villapaita __ pullover __ CLOTHING __ MJ8 
tunturi __ N __ n22odd __ fjell __ tunturi __ mountain __ NATURE __ MJ5 
tytär __ N __ n32 __ datter __ tytär __ daughter __ FAMILY __ MJ2 
tällinki __ N __ n22odd __ stativ __ teline __ rack __ ROOM_OTHER __ MJ8 
universiteetti __ N __ n22 __ universitet __ yliopisto __ university __ SCHOOL __ MJ1 
vaara __ N __ n21 __ fare __ vaara __ danger __ NATURE_PLACE __ MJ5 
vaatetkauppa __ N __ n21 __ klesbutikk __ vaatekauppa __ clothes shop __ SHOP __ MJ8 
vaatet __ N __ n33t __ klær __ vaate __ cloth __ CLOTHING __ MJ5 
vaatetputiikki __ N __ n22odd __ klesbutikk __ vaatekauppa __ clothes shop __ SHOP __ MJ8 
vaffeli __ N __ n22odd __ vaffel __ vohveli __ waffle __ FOOD_OTHER __ MJ2 
vaimo __ N __ n21 __ kvinne, kone __ nainen, vaimo __ woman, wife __ FAMILY __ MJ5 
vankka __ N __ n21 __ dal __ laakso __ valley __ NATURE_PLACE __ MJ5 
veli __ N __ n21ie __ bror __ veli __ brother __ FAMILY __ MJ5 
venet __ N __ n33t __ båt __ vene __ boat __ VEHICLE __ MJ5 
