ruslemma;ruslemma stressed;PoS;ZaliznjakCode;Book;Lesson;EnglishGloss;DanishGloss;NorwegianGloss;SemanticSet;AspectPartner;MotionPartner
метро;метро́;;;MiP;L17;subway;metro;t-bane;;;
мечта;мечта́;;;MiP;L21;dream, daydream;drøm, dagdrøm;drøm, dagdrøm;;;
милый;ми́лый;;;MiP;L13;nice, dear;sød, kær;søt, kjær, snill;;;
минута;мину́та;;;MiP;L14;minute;minut;minutt;;;
минутка;мину́тка;;;MiP;L6;moment;øjeblik;øyeblikk;;;
мир;мир;;;MiP;L11;peace, world;fred, verden;fred, verden;;;
много;мно́го;;;MiP;L1;much, many;mange, meget;mange, mye;;;
мобильный;моби́льный;;;MiP;L6;mobile;mobilrelatered;mobilrelatert;;;
мода;мо́да;;;MiP;;fashion;mode;mote;;;
можно;мо́жно;;;MiP;L1;possible;muligt;mulig;;;
мой;мой;;;MiP;B9;my;min;min;;;
молодожены;молодожёны;;;MiP;L21;newlyweds;nygifte;nygifte;;;
молодой;молодо́й;;;MiP;L11;young;ung;ung;;;
молоко;молоко́;;;MiP;B3;milk;mælk;melk;;;
момент;моме́нт;;;MiP;L18;moment;øjeblik;øyeblikk;;;
мороженое;моро́женое;;;MiP;L11;ice cream;spiseis;iskrem;;;
мороз;моро́з;;;MiP;L17;frost;frost;frost;;;
мочь;мочь;;;MiP;L4;be able;kunne;kunne;;смочь;
муж;муж;;;MiP;B4;husband;ægtemand;ektemann;;;
мужчина;мужчи́на;;;MiP;L17;man;mand;mann;;;
музей;музе́й;;;MiP;B3;museum;museum;museum;;;
музыка;му́зыка;;;MiP;L4;music;musik;musikk;;;
музыкальный;музыка́льный;;;MiP;L14;musical;musikrelatered;musikkrelatert;;;
музыкант;музыка́нт;;;MiP;L16;musician;musiker;musiker;;;
мы;мы;;;MiP;B5;we;vi;vi;;;
мысль;мысль;;;MiP;L21;thought;tanke;tanke;;;
мясо;мя́со;;;MiP;L3;meat;kød;kjøtt;;;
на;на;;;MiP;B2;on, onto;på;på;;;
наверно;наве́рно;;;MiP;L6;surely;nok;antakelig;;;
над;над;;;MiP;L14;above;over;over;;;
надевать;надева́ть;;;MiP;L13;put on clothing;give på;ta på seg klær;;наде́ть;
надеть;наде́ть;;;MiP;L13;put on clothing;give på;ta på seg klær;;надева́ть;
надеяться;наде́яться;;;MiP;L14;hope;håbe;håpe;;;
надо;на́до;;;MiP;;necessary;nødvendigt;nødvendig;;;
называться;называ́ться;;;MiP;L16;be named;hedde om ting;hete om ting;;;
найти;найти́;;;MiP;L10;find;finde;finne;;;
написать;написа́ть;;;MiP;L8;write;skrive;skrive;;писа́ть;
находить;находи́ть;;;MiP;L10;find;finde;finne;;;
находиться;находи́ться;;;MiP;L16;be located;befinde sig, ligge;befinne seg, ligge;;;
начать;нача́ть;;;MiP;L9;start, begin;begynde;begynne;;начина́ть;
начинать;начина́ть;;;MiP;L9;start, begin;begynde;begynne;;нача́ть;
наш;наш;;;MiP;B9;our;vores;vår;;;
не;не;;;MiP;B3;not;ikke;ikke;;;
невеста;неве́ста;;;MiP;L20;bride;brud;brud;;;
недалеко;недалеко́;;;MiP;L8;not far;ikke langt væk;ikke langt borte;;;
неделя;неде́ля;;;MiP;L15;week;uge;uke;;;
недорогой;недорого́й;;;MiP;L16;inexpensive;billig, ikke dyr;billig, ikke dyr;;;
нежно;не́жно;;;MiP;L19;tenderly;ømt;ømt;;;
нельзя;нельзя́;;;MiP;L1;forbidden, not allowed;forbudt, ikke måtte;forbudt, ikke tillatt;;;
немец;не́мец;;;MiP;L16;German;tysker;tysker;;;
немецкий;неме́цкий;;;MiP;L9;German;tysk;tysk;;;
немного;немно́го;;;MiP;L9;not much;lidt;litt;;;
неплохо;непло́хо;;;MiP;L5;not badly;ikke dårligt;ikke dårlig;;;
несколько;не́сколько;;;MiP;L14;several;nogle;noen, flere;;;
нести;нести́;;;MiP;L11;carry, bring;bære;bære;;понести́;
нет;нет;;;MiP;;no;nej;nei;;;
никогда;никогда́;;;MiP;L14;never;aldrig;aldri;;;
никто;никто́;;;MiP;L18;no one;ingen, ikke nogen;ingen;;;
ничего;ничего́;;;MiP;L13;nothing, OK;ingenting, OK;ingenting, OK;;;
ничего;ничего́;;;MiP;L13;nothing;ingenting;ingenting;;;
но;но;;;MiP;L2;but;men;men;;;
новость;но́вость;;;MiP;L9;piece of news;nyhed;nyhet;;;
новый;но́вый;;;MiP;L2;new;ny;ny;;;
номер;но́мер;;;MiP;L1;number;nummer;nummer;;;
Норвегия;Норве́гия;;;MiP;L17;Norway;Norge ;Norge;;;
нормально;норма́льно;;;MiP;L4;OK;fint, OK;fint, OK;;;
ночь;ночь;;;MiP;L10;night;nat;natt;;;
ночью;но́чью;;;MiP;L10;in the night;om natten, i nat;om natten, i natt;;;
нравиться;нра́виться;;;MiP;L12;be pleasing;behage, kunne lide;behage, like;;понра́виться;
нужно;ну́жно;;;MiP;;needed;nødvendigt;nødvendig;;;
о;о;;;MiP;L5;about;om;om;;;
обед;обе́д;;;MiP;B7;lunch;middagsmad;lunsj;;;
обедать;обе́дать;;;MiP;L2;eat lunch;spise middag, spise frokost;spise lunsj;;пообе́дать;
обрадоваться;обра́доваться;;;MiP;L14;become happy;blive glad;bli glad;;ра́доваться;
общий;о́бщий;;;MiP;L10;common;fælles;felles;;;
овощи;о́вощи;;;MiP;L8;vegetables;grøntsager;grønnsaker;;;
огурец;огуре́ц;;;MiP;L12;cucumber;agurk;agurk;;;
один;оди́н;;;MiP;;one, alone;en, alene;en, alene;;;
однажды;одна́жды;;;MiP;L8;once;engang;en gang;;;
озеро;о́зеро;;;MiP;L17;lake;sø;sjø;;;
ой;ой;;;MiP;L3;oh;åh, nej;å, nei;;;
окно;окно́;;;MiP;B1;window;vindue;vindu;;;
окошко;око́шко;;;MiP;L15;ticket window;luge;luke;;;
октябрь;октя́брь;;;MiP;B9;October;oktober;oktober;;;
он;он;;;MiP;B1;he, it;han, den, det;han, den, det;;;
она;она́;;;MiP;B1;she, it;hun, den, det;hun, den, det;;;
они;они́;;;MiP;B1;they;de;de;;;
оно;оно́;;;MiP;B1;it;den, det;den, det;;;
опять;опя́ть;;;MiP;L6;again;igen;igjen;;;
орден;о́рден;;;MiP;L11;medal;orden;orden;;;
оркестр;орке́стр;;;MiP;B9;orchestra;orkester;orkester;;;
осень;о́сень;;;MiP;;autumn;efterår;høst;;;
осенью;о́сенью;;;MiP;L18;in autumn;om efteråret;om høsten;;;
остановка;остано́вка;;;MiP;L16;mass transit stop;stoppested;stoppested;;;
осторожно;осторо́жно;;;MiP;L18;watch out, carefully;forsigtigt;forsiktig;;;
остров;о́стров;;;MiP;;island;ø;øy;;;
от;от;;;MiP;L8;from;fra;fra;;;
ответить;отве́тить;;;MiP;L9;answer;svare;svare;;отвеча́ть;
отвечать;отвеча́ть;;;MiP;L9;answer;svare;svare;;отве́тить;
отдавать;отдава́ть;;;MiP;L20;deliver;aflevere;avlevere;;отда́ть;
отдать;отда́ть;;;MiP;L20;deliver;aflevere;avlevere;;отдава́ть;
отдельный;отде́льный;;;MiP;L10;separate;egen, eget, separat;egen, eget, separat;;;
отдыхать;отдыха́ть;;;MiP;L3;rest;holde fri, slappe af;hvile, slappe av;;;
отец;оте́ц;;;MiP;B5;father;far;far;;;
открывать;открыва́ть;;;MiP;L9;open;åbne;åpne;;откры́ть;
открытка;откры́тка;;;MiP;L15;postcard;postkort;postkort;;;
открыть;откры́ть;;;MiP;L9;open;åbne;åpne;;открыва́ть;
отправить;отпра́вить;;;MiP;L13;send;sende;sende;;отправля́ть;
отправлять;отправля́ть;;;MiP;L13;send;sende;sende;;отпра́вить;
отпуск;о́тпуск;;;MiP;L17;vacation;ferie;ferie;;;
оттуда;отту́да;;;MiP;L18;from there;derfra;derfra;;;
офис;о́фис;;;MiP;L7;office;kontorfirma;kontor;;;
очень;о́чень;;;MiP;L1;very;meget;veldig;;;
очередь;о́чередь;;;MiP;L10;line, queue;kø;kø;;;
пакет;паке́т;;;MiP;L8;shopping bag, package;bærepose, pakke;bærepose, pakke;;;
палка;па́лка;;;MiP;L18;pole, cane;skistav, stav;skistav, stav;;;
пальто;пальто́;;;MiP;L14;coat;frakke;frakk;;;
папа;па́па;;;MiP;B7;dad;pappa;pappa;;;
парк;парк;;;MiP;B9;park;park;park;;;
партер;парте́р;;;MiP;L16;parterre;parterre;parterre;;;
партнер;партнёр;;;MiP;B6;partner;forretningsforbindelse, partner;forretningsforbindelse, partner;;;
паспорт;па́спорт;;;MiP;L20;passport;pas;pass;;;
паспортный;па́спортный;;;MiP;L20;passport;pasrelatered;passrelatert;;;
пассажир;пассажи́р;;;MiP;L18;passenger;passager;passasjer;;;
пауза;па́уза;;;MiP;L6;break, intermission;pause;pause;;;
пенсионер;пенсионе́р;;;MiP;B5;retiree;pensionist;pensjonist;;;
пенсия;пе́нсия;;;MiP;L10;pension;pension;pensjon;;;
пепси;пе́пси;;;MiP;L2;Pepsi;Pepsi-cola;Pepsi-cola;;;
первый;пе́рвый;;;MiP;;first;første;første;;;
передача;переда́ча;;;MiP;;broadcast;radioprogram, fjernsynsprogram;radioprogram, fjernsynsprogram;;;
переезжать;переезжа́ть;;;MiP;L10;move, ride across;flytte;flytte, kjøre tvers over;;перее́хать;
переехать;перее́хать;;;MiP;L10;move, ride across;flytte;flytte, kjøre tvers over;;переезжа́ть;
перспектива;перспекти́ва;;;MiP;L21;perspective;perspektiv;perspektiv;;;
петь;петь;;;MiP;L21;sing;synge;synge;;спеть;
пешком;пешко́м;;;MiP;L16;on foot;til fods;til fots;;;
пиво;пи́во;;;MiP;B9;beer;øl;øl;;;
пиджак;пиджа́к;;;MiP;L11;jacket;jakke;jakke;;;
писать;писа́ть;;;MiP;L8;write;skrive;skrive;;написа́ть;
письмо;письмо́;;;MiP;L15;letter;brev;brev;;;
пить;пить;;;MiP;L12;drink;drikke;drikke;;вы́пить;
плакат;плака́т;;;MiP;B4;poster;plakat;plakat;;;
платить;плати́ть;;;MiP;L8;pay;betale;betale;;заплати́ть;
платформа;платфо́рма;;;MiP;L18;railway platform;perron;perrong;;;
плейер;пле́йер;;;MiP;;player;discman;walkman;;;
плохо;пло́хо;;;MiP;L10;poorly;dårligt;dårlig;;;
плохой;плохо́й;;;MiP;L11;bad;dårlig;dårlig;;;
площадь;пло́щадь;;;MiP;L16;town square;plads;plass, torg;;;
по;по;;;MiP;L16;up to, along;ad, via;langs;;;
по-английски;по-англи́йски;;;MiP;B6;in English;på engelsk;på engelsk;;;
по-русски;по-ру́сски;;;MiP;;in Russian;på russisk;på russisk;;;
погода;пого́да;;;MiP;L5;weather;vejr;vær;;;
погулять;погуля́ть;;;MiP;L15;go for a walk, stroll, party;gå tur, spadsere en stund, feste;gå tur, spasere en stund, feste;;гуля́ть;
под;под;;;MiP;L21;under;ind under;under;;;
подарить;подари́ть;;;MiP;L11;give a gift;forære;forære;;дари́ть;
подарок;пода́рок;;;MiP;L11;gift;gave;gave;;;
подвиг;по́двиг;;;MiP;L12;achievement;bedrift;bedrift, heltedåd;;;
подождать;подожда́ть;;;MiP;L6;wait;vente;vente;;ждать;
подруга;подру́га;;;MiP;L3;female friend;veninde;venninne;;;
подумать;поду́мать;;;MiP;L9;think;tænke, mene;tenke, mene;;ду́мать;
подъезд;подъе́зд;;;MiP;L14;building entrance;opgang;oppgang;;;
поезд;по́езд;;;MiP;L17;train;tog;tog;;;
поехать;пое́хать;;;MiP;L11;ride;køre;kjøre;;е́хать;
пожалуйста;пожа́луйста;;;MiP;;please;venligst;venligst;;;
пожелать;пожела́ть;;;MiP;L15;desire;ønske;ønske;;жела́ть;
позавтракать;поза́втракать;;;MiP;L4;eat breakfast;spise morgenmad;spise frokost;;за́втракать;
позвонить;позвони́ть;;;MiP;L2;ring, call;ringe;ringe;;звони́ть;
поздно;по́здно;;;MiP;L10;late;sent;sent;;;
поздравить;поздра́вить;;;MiP;L11;congratulate;ønske tillykke;gratulere;;поздравля́ть;
поздравлять;поздравля́ть;;;MiP;L11;congratulate;ønske tillykke;gratulere;;поздра́вить;
познакомиться;познако́миться;;;MiP;;get to know;lære hinanden at kende;bli kjent;;знако́миться;
поиграть;поигра́ть;;;MiP;L1;play;spille lidt;spille, leke litt;;;
поинтересоваться;поинтересова́ться;;;MiP;L16;be interested;interessere sig for;interessere seg for;;интересова́ться;
поймать;пойма́ть;;;MiP;L17;catch;fange;fange;;лови́ть;
пойти;пойти́;;;MiP;L6;walk;gå;gå;;идти́;
пока;пока́;;;MiP;L2;see you later, until, so long, goodbye;farvel, vi ses;farvel, ha det;;;
показать;показа́ть;;;MiP;L7;show;vise;vise;;пока́зывать;
показаться;показа́ться;;;MiP;L14;seem;synes, forekomme;synes, forekomme;;каза́ться;
показывать;пока́зывать;;;MiP;L7;show;vise;vise;;показа́ть;
покупатель;покупа́тель;;;MiP;L8;buyer;kunde;kunde;;;
покупать;покупа́ть;;;MiP;L7;buy;købe;kjøpe;;купи́ть;
полка;по́лка;;;MiP;B2;shelf;hylde, reol;hylle, reol;;;
положить;положи́ть;;;MiP;L21;put lying down;lægge;legge;;класть;
получать;получа́ть;;;MiP;L8;receive;få, modtage;få, motta;;получи́ть;
получить;получи́ть;;;MiP;L8;receive;få, modtage;få, motta;;получа́ть;
полюбить;полюби́ть;;;MiP;L21;love;elske;elske;;;
помoгать;помoга́ть;;;MiP;L10;help;hjælpe;hjelpe;;помо́чь;
помнить;по́мнить;;;MiP;L8;remember;huske;huske;;;
помочь;помо́чь;;;MiP;L10;help;hjælpe;hjelpe;;помага́ть;
понедельник;понеде́льник;;;MiP;L5;Monday;mandag;mandag;;;
понести;понести́;;;MiP;L11;carry, bring;bære;bære;;нести́;
понимать;понима́ть;;;MiP;L6;understand;forstå;forstå;;поня́ть;
понравиться;понра́виться;;;MiP;L12;be pleasing;kunne lide;behage, like;;нра́виться;
понять;поня́ть;;;MiP;L6;understand;forstå;forstå;;понима́ть;
пообедать;пообе́дать;;;MiP;L2;eat lunch;spise middag, spise frokost;spise lunsj;;обе́дать;
попросить;попроси́ть;;;MiP;L8;ask, request;bede om;be om;;проси́ть;
пора;пора́;;;MiP;L14;it’s time;det er på tide;det er på tide;;;
порнография;порногра́фия;;;MiP;L11;pornography;pornografi;pornografi;;;
посидеть;посиде́ть;;;MiP;L4;sit for a while;sidde en stund;sitte en stund;;;
после;по́сле;;;MiP;L7;after;efter;etter;;;
послушать;послу́шать;;;MiP;L4;listen;lytte;lytte, høre på;;;
посмотреть;посмотре́ть;;;MiP;L1;look, watch;kigge på;kikke;;смотре́ть;
поспорить;поспо́рить;;;MiP;L10;argue;diskutere;diskutere;;спо́рить;
поссориться;поссо́риться;;;MiP;L21;argue;blive uvenner;krangle;;ссо́риться;
потанцевать;потанцева́ть;;;MiP;L15;dance for a while;danse en stund;danse en stund;;;
потом;пото́м;;;MiP;L4;then, after, next;så, derefter, bagefter;deretter, etterpå, så;;;
потому что;потому́ что;;;MiP;L1;because;fordi;fordi;;;
потратить;потра́тить;;;MiP;L19;spend;bruge penge, tid;bruke penger, tid;;тра́тить;
поужинать;поу́жинать;;;MiP;B6;eat dinner;spise aftensmad;spise middag;;у́жинать;
поцеловать;поцелова́ть;;;MiP;L12;kiss;kysse;kysse;;целова́ть;
почему;почему́;;;MiP;L1;why;hvorfor;hvorfor;;;
почта;по́чта;;;MiP;L15;post office;post, posthus;post, postkontor;;;
почти;почти́;;;MiP;L10;almost;næsten;nesten;;;
почувствовать;почу́вствовать;;;MiP;L19;feel;føle;føle;;чу́вствовать;
поэт;поэ́т;;;MiP;B2;poet;digter;dikter;;;
поэтому;поэ́тому;;;MiP;L6;for that reason;derfor;derfor;;;
прав;прав;;;MiP;L6;correct, right;ret, riktigt;rett, riktig;;;
правда;пра́вда;;;MiP;L6;truth;sandhed;sannhet;;;
предлагать;предлага́ть;;;MiP;L11;offer, suggest;foreslå;foreslå;;предложи́ть;
предложить;предложи́ть;;;MiP;L11;offer, suggest;foreslå;foreslå;;предлага́ть;
предмет;предме́т;;;MiP;;object, topic;genstand, fag;gjenstand, fag;;;
прекрасный;прекра́сный;;;MiP;L4;wonderful;pragtfuld;praktfull;;;
привет;приве́т;;;MiP;L2;hello;hej;hei;;;
пригласить;пригласи́ть;;;MiP;L9;invite;invitere;invitere;;приглаша́ть;
приглашать;приглаша́ть;;;MiP;L9;invite;invitere;invitere;;пригласи́ть;
приготовить;пригото́вить;;;MiP;L8;prepare;forberede, tilberede;forberede, tilberede;;;
приехать;прие́хать;;;MiP;L6;arrive riding;komme kørende;komme kjørende;;;
прийти;прийти́;;;MiP;L9;arrive walking;komme til fods;komme til fots;;приходи́ть;
прилетать;прилета́ть;;;MiP;L20;arrive flying;ankomme pr. fly;komme med fly;;прилете́ть;
прилететь;прилете́ть;;;MiP;L20;arrive flying;ankomme pr. fly;komme med fly;;прилета́ть;
принтер;при́нтер;;;MiP;B6;printer;printer;printer;;;
приходить;приходи́ть;;;MiP;L9;arrive walking;komme til fods;komme til fots;;прийти́;
приятно;прия́тно;;;MiP;L2;pleasantly;behageligt;behagelig;;;
приятный;прия́тный;;;MiP;L7;pleasant;behagelig;behagelig;;;
проблема;пробле́ма;;;MiP;L9;problem;problem;problem;;;
программа;програ́мма;;;MiP;L15;program;program;program;;;
продавать;продава́ть;;;MiP;L20;sell;sælge;selge;;прода́ть;
продавец;продаве́ц;;;MiP;L8;salesman;ekspedient;butikkselger;;;
продавщица;продавщи́ца;;;MiP;L8;saleswoman;ekspeditrice;butikkselger;;;
продать;прода́ть;;;MiP;L20;sell;sælge;selge;;продава́ть;
продукт;проду́кт;;;MiP;L7;product, produce;fødevare;matvare;;;
прожить;прожи́ть;;;MiP;L10;live through;tilbringe en vis tid;tilbringe en viss tid;;;
пройти;пройти́;;;MiP;L20;walk through, pass;gå igennem, passere;gå gjennom, passere;;проходи́ть;
просить;проси́ть;;;MiP;L8;ask, request;bede om;be om;;попроси́ть;
просто;про́сто;;;MiP;;just, simply;bare, simpelthen;bare, simpelthen;;;
против;про́тив;;;MiP;L17;against;imod;imot;;;
проходить;проходи́ть;;;MiP;L20;walk through, pass;gå igennem, passere;gå gjennom, passere;;пройти́;
прочитать;прочита́ть;;;MiP;L9;read;læse;lese;;чита́ть;
пустой;пусто́й;;;MiP;L21;empty;tom;tom;;;
пусть;пусть;;;MiP;L19;let, may;lad blot;bare la;;;
пятница;пя́тница;;;MiP;L9;Friday;fredag;fredag;;;
работа;рабо́та;;;MiP;L1;work;arbejde;arbeid;;;
работать;рабо́тать;;;MiP;L1;work;arbejde;arbeide;;;
рад;рад;;;MiP;;happy;glad;glad;;;
радоваться;ра́доваться;;;MiP;L14;be happy;være glad;være glad;;обра́доваться;
раз;раз;;;MiP;L7;time;gang;gang;;;
разговаривать;разгова́ривать;;;MiP;;converse;tale sammen;snakke sammen;;;
район;райо́н;;;MiP;L3;district;bydel;bydel;;;
ракета;раке́та;;;MiP;L9;racket;ketsjer;racket;;;
рано;ра́но;;;MiP;L5;early;tidligt;tidlig;;;
раньше;ра́ньше;;;MiP;L7;earlier, before;tidligere, før;tidligere, før;;;
рассказать;рассказа́ть;;;MiP;L3;tell;fortælle;fortelle;;расска́зывать;
рассказывать;расска́зывать;;;MiP;L3;tell;fortælle;fortelle;;рассказа́ть;
ребенок;ребёнок;;;MiP;L14;child;barn;barn;;;
река;река́;;;MiP;L17;river;flod;elv;;;
реклама;рекла́ма;;;MiP;L7;advertisement;reklame;reklame;;;
рекламный;рекла́мный;;;MiP;L7;advertising;reklamerelatered;reklamerelatert;;;
репка;ре́пка;;;MiP;L5;turnip;roe;nepe;;;
ресторан;рестора́н;;;MiP;B9;restaurant;restaurant;restaurant;;;
решать;реша́ть;;;MiP;L10;decide, solve;beslutte, løse;beslutte, avgjøre, løse, bestemme;;реши́ть;
решить;реши́ть;;;MiP;L10;decide, solve;beslutte, løse;beslutte, avgjøre, løse, bestemme;;реша́ть;
родители;роди́тели;;;MiP;B5;parents;forældre;foreldre;;;
родной;родно́й;;;MiP;L21;native;hjemstedsrelatered;hjemstedsrelatert;;;
рождение;рожде́ние;;;MiP;L11;birth;fødsel;fødsel;;;
роза;ро́за;;;MiP;L7;rose;rose;rose;;;
рок;рок;;;MiP;L6;rock music;rock;rock;;;
роман;рома́н;;;MiP;L1;novel;roman;roman;;;
российский;росси́йский;;;MiP;B8;Russian;russisk (om staten);russisk (om staten);;;
Россия;Росси́я;;;MiP;B2;Russia;Rusland;Russland;;;
рубль;рубль;;;MiP;L8;ruble;rubel;rubel;;;
рука;рука́;;;MiP;L1;arm, hand;arm, hånd;arm, hånd;;;
русский;ру́сский;;;MiP;L2;Russian;russisk;russisk;;;
ручка;ру́чка;;;MiP;B6;pen;kuglepen;kulepenn;;;
рыба;ры́ба;;;MiP;L11;fish;fisk;fisk;;;
рынок;ры́нок;;;MiP;L8;market;marked;marked;;;
рюкзак;рюкза́к;;;MiP;L17;backpack;rygsæk;ryggsekk;;;
ряд;ряд;;;MiP;L16;row;række;rekke;;;
рядом;ря́дом;;;MiP;L10;next to;i nærheden;i nærheten;;;
с;с;;;MiP;L13;from, off;fra;fra;;;
с;с;;;MiP;;with;med, sammen med;med, sammen med;;;
сад;сад;;;MiP;L13;garden;have;hage;;;
садиться;сади́ться;;;MiP;L16;sit down;sætte sig;sette seg;;сесть;
салат;сала́т;;;MiP;B7;salad, lettuce;salat;salat;;;
сам;сам;;;MiP;L12;self;selv;selv;;;
самовар;самова́р;;;MiP;B6;samovar;samovar;samovar;;;
самолет;самолёт;;;MiP;L20;airplane;fly, flyvemaskine;fly;;;
самый;са́мый;;;MiP;L11;most, superlative form for adjectives;højeste grad af adjektiv;høyeste grad av adjektiv;;;
свадьба;сва́дьба;;;MiP;L20;wedding;bryllup;bryllup;;;
свидание;свида́ние;;;MiP;L2;meeting;møde;møte;;;
свитер;сви́тер;;;MiP;L11;sweater;sweater;genser;;;
свобода;свобо́да;;;MiP;L11;freedom;frihed;frihet;;;
свободный;свобо́дный;;;MiP;L1;free, unmarried;fri;fri;;;
свой;свой;;;MiP;L4;own ;egen, eget;egen, eget;;;
свой;свой;;;MiP;L4;one’s own;sin;sin;;;
сделать;сде́лать;;;MiP;L1;do, make;gøre, lave;gjøre, lage;;де́лать;
себя;себя́;;;MiP;L12;self;sig selv;seg selv;;;
север;се́вер;;;MiP;L16;north;nord, norden;nord, norden;;;
сегодня;сего́дня;;;MiP;L2;today;i dag;i dag;;;
седьмой;седьмо́й;;;MiP;L16;seventh;syvende;sjuende;;;
сейф;сейф;;;MiP;B6;safe;pengeskab;pengeskap;;;
сейчас;сейча́с;;;MiP;L1;now;nu;nå;;;
секрет;секре́т;;;MiP;L7;secret;hemmelighed;hemmelighet;;;
секретарь;секрета́рь;;;MiP;L9;secretary;sekretær;sekretær;;;
секунда;секу́нда;;;MiP;L18;second;sekund;sekund;;;
семейный;семе́йный;;;MiP;B9;family related;familierelatered;familierelatert;;;
семь;семь;;;MiP;L1;seven;syv;sju;;;
семья;семья́;;;MiP;B5;family;familie;familie;;;
сентябрь;сентя́брь;;;MiP;L13;September;september;september;;;
сердечный;серде́чный;;;MiP;L21;cordial;hjertelig;hjertelig;;;
сериал;сериа́л;;;MiP;L1;tv series;serie;serie;;;
серьезно;серьёзно;;;MiP;L6;seriously;alvorligt;alvorlig;;;
сестра;сестра́;;;MiP;B4;sister;søster;søster;;;
сесть;сесть;;;MiP;L16;sit down;sætte sig;sette seg;;сади́ться;
сидеть;сиде́ть;;;MiP;L4;sit;sidde;sitte;;;
сила;си́ла;;;MiP;L21;strength, force;kraft;kraft;;;
симпатичный;симпати́чный;;;MiP;L5;nice;sympatisk, sød;sympatisk, søt;;;
симфонический;симфони́ческий;;;MiP;L16;symphony;symfonisk;symfonisk;;;
симфония;симфо́ния;;;MiP;L16;symphony;symfoni;symfoni;;;
синий;си́ний;;;MiP;B8;dark blue;mørkeblå;mørkeblå;;;
сказать;сказа́ть;;;MiP;L8;say;sige;si;;говори́ть;
сказка;ска́зка;;;MiP;L5;fairy tale;eventyr;eventyr;;;
сколько;ско́лько;;;MiP;L11;how many, how much;hvor meget, hvor mange;hvor mye, hvor mange;;;
скоро;ско́ро;;;MiP;L3;soon;snart;snart;;;
скрипка;скри́пка;;;MiP;L1;violin;violin;fiolin;;;
скучно;ску́чно;;;MiP;;boring;kedeligt;kjedelig;;;
скучный;ску́чный;;;MiP;L12;boring;kedelig;kjedelig;;;
слева;сле́ва;;;MiP;B2;on the left;til venstre;til venstre;;;
следующий;сле́дующий;;;MiP;L16;next;følgende;følgende;;;
слишком;сли́шком;;;MiP;;too ;alt for;altfor;;;
слишком;сли́шком;;;MiP;;too much;for, alt for;for, altfor;;;
слово;сло́во;;;MiP;L20;word;ord;ord;;;
сломаться;слома́ться;;;MiP;L20;break;gå i stykker;gå i stykker;;лома́ться;
слушать;слу́шать;;;MiP;L4;listen;høre på, lytte til;høre på, lytte til;;;
слышать;слы́шать;;;MiP;L18;hear;høre;høre;;услы́шать;
смеяться;смея́ться;;;MiP;L14;laugh;le;le;;;
смотреть;смотре́ть;;;MiP;L1;look, watch;kigge på;kikke;;посмотре́ть;
смочь;смочь;;;MiP;L4;be able;kunne;kunne;;мочь;
сначала;снача́ла;;;MiP;L5;first;først;først;;;
снег;снег;;;MiP;L17;snow;sne;snø;;;
собака;соба́ка;;;MiP;B1;dog;hund;hund;;;
собирать;собира́ть;;;MiP;L18;collect;samle;samle;;собра́ть;
собрать;собра́ть;;;MiP;L18;collect;samle;samle;;собира́ть;
советский;сове́тский;;;MiP;L11;Soviet;sovjetisk;sovjetisk;;;
совсем;совсе́м;;;MiP;L2;completely;ganske;helt, fullstendig;;;
сожаление;сожале́ние;;;MiP;;pity;beklagelse;beklagelse;;;
сок;сок;;;MiP;L3;juice;saft, juice;saft, jus;;;
соленый;солёный;;;MiP;L12;salted;saltet;saltet;;;
солист;соли́ст;;;MiP;L15;soloist;solist;solist;;;
солнце;со́лнце;;;MiP;L17;sun;sol;sol;;;
сон;сон;;;MiP;L18;dream, sleep;drøm, søvn;drøm, søvn;;;
сосед;сосе́д;;;MiP;L2;neighbor;nabo;nabo;;;
спальня;спа́льня;;;MiP;L10;bedroom;soveværelse;soverom;;;
спасать;спаса́ть;;;MiP;L18;save;redde;redde;;спасти́;
спасибо;спаси́бо;;;MiP;L2;thank you;tak;takk;;;
спасти;спасти́;;;MiP;L18;save;redde;redde;;спаса́ть;
спать;спать;;;MiP;L6;sleep;sove;sove;;;
спеть;спеть;;;MiP;L21;sing;synge;synge;;петь;
спешить;спеши́ть;;;MiP;;hurry;have travlt;forte seg;;;
список;спи́сок;;;MiP;L8;list;huskeseddel;liste;;;
спорить;спо́рить;;;MiP;L10;argue;diskutere;diskutere;;поспо́рить;
спортивный;спорти́вный;;;MiP;L3;sport;sportsrelatered;sportsrelatert;;;
справа;спра́ва;;;MiP;B2;on the right;til højre;til høyre;;;
спрашивать;спра́шивать;;;MiP;L16;ask;spørge;spørre;;спроси́ть;
спросить;спроси́ть;;;MiP;L16;ask;spørge;spørre;;спра́шивать;
сразу;сра́зу;;;MiP;L8;immediately;straks;straks;;;
среда;среда́;;;MiP;L9;Wednesday;onsdag;onsdag;;;
ссориться;ссо́риться;;;MiP;L21;argue;blive uvenner;krangle;;поссо́риться;
стадион;стадио́н;;;MiP;L1;stadium;stadion;stadion;;;
стакан;стака́н;;;MiP;B6;glass;glas;glass;;;
становиться;станови́ться;;;MiP;L16;become;blive;bli;;;
станция;ста́нция;;;MiP;L17;station;station;stasjon;;;
старый;ста́рый;;;MiP;L4;old;gammel;gammel;;;
стать;стать;;;MiP;L16;become;blive;bli;;;
