olla
saada
voida
kuulua
alkaa
toimia
vastata
sijaita
tuntea
perustaa
johtaa
syntyä
kuolla
rakentaa
antaa
julkaista
tarkoittaa
seurata
merkitä
elää
muodostaa
saattaa
esittää
valita
pidetä
nähdä
kutsua
liittyä
kasvaa
tapahtua
vaikuttaa
muuttaa
aiheuttaa
joutua
sisältää
järjestää
aloittaa
esiintyä
pyrkiä
jakaa
merkittää
kehittää
siirtyä
tuottaa
voittaa
päästä
suunnitella
haluta
hallita
vaatia
perustua
kulkea
löytää
laskea
osallistua
puhua
päättää
tuoda
tukea
suosia
luoda
jatkaa
kehittyä
periä
pelata
saavuttaa
tutkia
tarvita
valmistaa
muuttua
lähettää
yhdistää
ajaa
muodostua
arvioida
hyväksyä
valmistua
näkyä
ilmestyä
nimittää
lisätä
yrittää
vaihdella
koostua
erottaa
kestää
ilmoittaa
määritellä
pystyä
saapua
suorittaa
myydä
pysyä
havaita
osoittaa
käsitellä
siirtää
päättyä
säilyä
liittää
mahdollistaa
vallata
uskoa
mainita
edustaa
jättää
onnistua
erota
nimetä
jatkua
löytyä
viedä
kärsiä
tarjota
menettää
muistuttaa
koskea
keskittyä
näyttää
toteuttaa
levitä
vastustaa
kieltää
palata
estää
määrätä
väittää
johtua
julistaa
asettaa
työskennellä
myöntää
aleta
huomata
huolia
todeta
yhdistyä
tietää
soittaa
kokea
lopettaa
hoitaa
viitata
opiskella
kannattaa
omistaa
verrata
luopua
hyökätä
solmia
vahvistaa
harjoittaa
poistaa
liikkua
sijoittua
avata
paeta
lentää
oppia
käsittää
ostaa
riippua
menestyä
korvata
ryhtyä
ohjata
tuhota
ymmärtää
sallia
tuomita
hävitä
vaihtaa
sataa
ulottua
kyetä
taistella
kohdata
luovuttaa
sijoittaa
vähentää
kerrata
tappaa
rajoittaa
välttää
uusia
osata
syyttää
mitata
korostaa
ympäröidä
riittää
kerätä
etsiä
auttaa
jakautua
kiertää
viettää
ajatella
valloittaa
opettaa
kantaa
hylätä
poiketa
suhtautua
sopia
vaalia
esitellä
kääntää
laajentaa
säilyttää
ylittää
lisääntyä
painaa
kattaa
säätää
kuulla
ratkaista
parantaa
palvella
tunnustaa
noudattaa
herättää
ylläpitää
hyödyntää
täyttää
selvittää
kasvattaa
niistää
edeltää
vallita
vapauttaa
edetä
odottaa
lyödä
loppua
ilmaista
palauttaa
kritisoida
lakkauttaa
suunnata
laatia
sulkea
ehdottaa
pieniä
puuttua
päätyä
kieliä
hajota
kilpailla
asettua
kuljettaa
ampua
maata
keksiä
arvostella
puolustaa
koota
vetäytyä
epäillä
edistää
kääntyä
virrata
kukistaa
arvella
miehittää
vetää
kiinnostua
vierailla
heittää
olettaa
luokitella
varustaa
luvata
tulkita
edellyttää
itsenäistyä
syrjäyttää
sotia
tunnistaa
yleistyä
peittää
pakottaa
pyytää
kieltäytyä
epäonnistua
arvostaa
liikennöidä
kulua
suojella
kiinnittää
määrittää
selvitä
ilmetä
palaa
kohdistua
haudata
suostua
pudota
laulaa
kohota
todistaa
poistua
nauttia
äänestää
kouluttaa
munia
suojata
päivätä
säveltää
vangita
matkustaa
vakiintua
levittää
päästää
paljastaa
asuttaa
välittää
piirtää
kadota
uudistaa
polttaa
osoittautua
purkaa
sitoa
omaksua
kaatua
vaihtua
varata
pelätä
muistua
huolehtia
liittoutua
allekirjoittaa
rikkoa
tuhoutua
pohjautua
valvoa
toivoa
reagoida
soveltaa
vapautua
harrastaa
päätellä
osua
vähetä
käynnistää
kuvailla
surmata
murhata
keskustella
sisältyä
sattua
tarkastella
astua
perustella
kehiä
ajautua
laajeta
toteutua
pidättää
soveltua
viljellä
korjata
torjua
suuntautua
kokoontua
turvata
neuvotella
taata
rengastaa
hyljätä
rajata
varmistaa
näytellä
hävittää
juoda
ennustaa
sekoittaa
tilata
hajottaa
antautua
helpottaa
vähentyä
yltää
lehtiä
houkutella
kaapata
sairastua
keskeyttää
tallentaa
luottaa
vastaanottaa
solmita
tarkastaa
pelastaa
paikata
erikoistua
painottaa
kokeilla
kumota
teloittaa
hallinnoida
paloa
naida
kapinoida
sitoutua
lainata
panna
tuntua
selviytyä
herätä
suositella
viihtyä
rahoittaa
karkottaa
valmistella
syttyä
jakaantua
pyöriä
maalata
rajoittua
organisoida
matkata
luonnehtia
pohtia
vihkiä
rekisteröidä
päteä
marssia
kytkeä
heikentää
työllistää
pystyttää
asentaa
yhtyä
rakennuttaa
laukaista
haastaa
ruokkia
palkita
kertyä
kehottaa
julistautua
lähestyä
erottua
tavoitella
aiheutua
lausua
menehtyä
leikata
hyötyä
paljastua
katkaista
pudottaa
hidastaa
valittaa
salata
säädellä
rauhoittaa
keskittää
