vuosi
Suomi
aika
ensimmäinen
osa
alue
maa
jälki
toinen
ensimmäinen
esimerkki
yksi
kaupunki
kaksi
alku
ihminen
koko
kui
Yhdysvalta
sota
kieli
loppu
käyttö
puoli
noki
kunta
vuo
kolme
Venäjä
joukko
Eurooppa
valtio
kirkko
maailma
Helsinki
päivä
väli
saksa
lisä
puolue
toiminta
määrä
historia
saari
miljoona
Ruotsi
presidentti
elokuva
miljoona
tapa
yhtye
sana
prosentti
vuoksi
jäsen
teos
Neuvostoliitto
kappale
kausi
yhteys
toinen
paikka
hyvä
mies
asema
apu
varsi
kuningas
kirja
kerta
Ranska
armeija
Maa
yliopisto
tieto
lapsi
valta
neljä
asukas
Kiina
sija
luku
taistelu
väestö
laji
ryhmä
niisi
a
kilometri
tutkimus
poika
s
maailmansota
metri
toimi
syy
muoto
tehtävä
vaikutus
työ
välinen
peli
henkilö
vesi
nainen
pää
laki
viisi
ääni
isä
kulttuuri
raja
oikeus
tila
kylä
kolmas
kohta
kone
ero
ohjelma
maakunta
ongelma
yritys
käytäntö
valtakunta
suhde
tarkoitus
Turku
merkitys
kuva
tasavalta
kuu
johtaja
teoria
kymmenen
kuukausi
keisari
juuri
n
musiikki
keskusta
elämä
tilanne
talous
johto
albumi
henki
aine
1800
matka
kesä
sopimus
vaali
kansa
de
kohde
sarja
Japani
lehti
perhe
pääkaupunki
uskonto
järjestelmä
kehitys
arvo
seuraus
Rooma
i
merkki
filosofia
tapaus
ura
edustaja
seurakunta
ajatus
pääministeri
versio
muutos
yhtiö
tie
pohjoinen
pääosa
Italia
tulos
1900
ominaisuus
pari
tavoite
tarina
pelaaja
Britannia
hallinto
kevät
syksy
suura
yksilö
rakenne
tuotanto
sotilas
Jumala
pääasia
Hitler
suomi
rannikko
rakennus
levy
etelä
puheenjohtaja
tietokone
1990
1970
politiikka
kuusi
liitto
Tampere
taso
I
euro
voima
nimitys
kilpailu
järjestö
viikko
osuus
kuolema
1980
parlamentti
koulutus
käsite
lintu
luonto
kalenteri
päätös
käsi
Englanti
äiti
tähti
malli
valo
m
lääni
mahdollisuus
keskus
talo
1960
ulkopuoli
länsi
joki
A
seitsemän
mon
II
hyökkäys
vaalea
Aleksanteri
pala
sata
Intia
joukkue
teksti
Espanja
eläin
oy
Puola
ympäristö
pituus
pari
ravinto
itä
suunta
tuhat
seura
piiri
osavaltio
yhteiskunta
talvi
kuningaskunta
seutu
perustuslaki
entinen
piste
lähde
tiede
järvi
dollari
näkemys
Afrikka
mahdollinen
palvelu
huomio
suku
kirjailija
paavi
rata
Oulu
käsitys
rauha
tunti
virka
I
Pietari
auto
voitto
energia
termi
luokka
kahdeksan
von
vaimo
yhteistyö
sisällissota
tapahtuma
vallankumous
meri
kos
kasvu
teko
kirjallisuus
tuhat
laite
ilmasto
naaras
metsä
puu
par
ala
suosio
John
väri
kysymys
vuosisata
väkiluku
periaate
unioni
ranta
ase
juutalainen
tekijä
nopeus
siipi
raha
kauppa
ottelu
verkko
alus
kanta
ikä
arvio
korkeus
laulu
perinne
kyse
hahmo
pesä
vanhempi
2000
tarve
tutkija
rooli
j
englanti
g
menetelmä
planeetta
Egypti
tyyli
vesistö
romaani
kristinusko
kirjoitus
jumala
Moskova
Kaarle
hinta
Pariisi
Tanska
suunnitelma
Irak
käyttäjä
neljäs
keskustelu
Israel
vastustaja
hetki
lentoasema
kannattaja
käytetty
J
hallinta
Aurinko
kokous
antiikki
keskiaika
kapina
seuraaja
linja
York
kasvi
v
tulo
asutus
Lappi
numero
miljardi
todellisuus
menestys
silmä
määritelmä
yhdeksän
veli
ruumis
oppilas
tausta
tekniikka
opetus
taide
kisa
Lontoo
Karjala
tytär
ruoka
pohjoisosa
e
kokonaisuus
puhe
laivasto
1950
sääntö
Jeesus
miljardi
laiva
Kreikka
tappio
massa
kenraali
kaupunginosa
Norja
tunnus
Raamattu
1700
poliisi
Yle
radio
vaikute
perustaminen
ilma
Unkari
Kanada
perä
ajattelu
Berliini
professori
Viro
yö
c
1930
käyttöjärjestelmä
kansalainen
Lahti
synty
oppi
hallitsija
kirkonkylä
luettelo
lista
linna
ulkomaa
keskimäärä
Vaasa
lentokone
kivi
etu
opettaja
lento
minuutti
opiskelija
Stalin
kirjain
säteily
provinssi
valkoinen
markkina
ratkaisu
palkinto
kala
itsenäisyys
avioliitto
molempi
pinta
Aasia
musta
markkinat
b
nousu
kommunisti
puoli#väli
vapaus
ehdokas
Amerikka
maatalous
k
eteläosa
luonne
filosofi
ilmavoimat
Turkki
Jackson
ulkonäkö
olemassaolo
enemmistö
Platon
vuosikymmen
Pori
Mannerheim
murre
itä#valta
Ukraina
pohja
Jyväskylä
r
Napoleon
rock
Johannes
pappi
juna
ydin
vihollinen
sivu
voi
d
Australia
oikea
reitti
o
fysiikka
etäisyys
Nobel
koiras
britti
Juha
itä#meri
kenttä
hoito
valtatie
senaatti
julkaisu
YK
Kekkonen
lisääntyminen
maantiede
olympialainen
ruotsi
