algâelleeh	alkueläimet
rumâškuáddu 	ryhti
ruopsisjiereeh 	punaherukka
ruopsiskaaneel 	punakaneli
ruopsissellâ 	punasolu
ruotâsmyerji 	mukula
ruošânjuámmil 	rusakko
ruámšijiereeh 	karviainen
ruánááčalme 	viherhiukkanen
ryebbicuábui 	rupikonna
ráhtuluđ 	teollistua
rávásmemahe 	murrosikä
ränispápukáijá 	harmaapapukaija
ränisrástágâš 	räkättirastas
saatuul 	satula
segment 	jaoke
sellâcuozzâ 	solukalvo
sellâseini 	soluseinä
sellâvááimus 	tuma
sellâšlijve 	solulima
siemâcirgám 	siemensyöksy
siemâšadoh 	siemenkasvit
siepah 	häpykarvat
sispelji 	sisäkorva
skooččân 	rapina
skuápuh 	kotilot
snorâniđ 	supistua (lihaksesta)
snuotârdem 	napostelu
snäldeetähti 	värttinäluu
sparkkem 	syke
stimulus 	ärsyke
stuorrâ syeiniaččin 	hepokatti
stáálupoccee 	karhunputki
stäjideijee 	tuholainen
sudduđ 	tulla lumisokeaksi
suhâjäämmim 	sukupuutto
suhâjäämmiđ 	kuolla sukupuuttoon
suoksâkenno 	toukkakenno
suonâ 	jänne
suonâdâh 	suonisto
suptâlastik 	vaahtomuovi
syeiniaččin 	heinäsirkka
sávrudettee 	lenkkeilijä
säggiseibilisko 	piikkihäntälisko
säpligviermirääsi 	hiirenvirna
taamiterho 	tammenterho
tabbâtekki 	hauislihas
tammi 	tammi
tejârääsi 	mesiangervo
tekkikođos 	lihaskudos
tekkisellâ 	lihassolu
tekkičarviittâh 	lihaskouristus
tievâslâš hämimolsom 	täydellinen 
tivrestäjideijee 	hyönteistuholainen
tiälkkuháisoo 	täplähaiskiainen
tiäpuh 	levät
toovgâs 	kimmoisa
tubdâmsajos 	tuntoalue
tulvâdemjävri	tekojärvi	
turáidittiđ 	päristää
tyyraanlisko 	tyrannilisko
táálášolmooš 	nykyihminen
tähtilappum 	luukato eli osteoporoosi
tälviarvešoŋŋâdâh 	talvisadeilmasto
tärhistoppim 	tarkkuusote
täsiliegâs 	tasalämpöinen
ulločuárvinjune 	villasarvikuono
uulguššaddo 	päällyskasvi
