muu
suuri
uusi
oleva
hyvä
oma
pieni
vanha
suomalainen
tunnettu
tärkeä
merkittävä
yleinen
nykyinen
seuraava
kuuluva
erilainen
viimeinen
poliittinen
kansainvälinen
tosi
laaja
entinen
sijaitseva
aiempi
pohjoinen
saksalainen
mahdollinen
suosittu
ainoa
toimiva
aikainen
täysi
virallinen
vanhin
liittyvä
musta
tietty
perinteinen
nopea
lyhyt
alkuperäinen
voimakas
valkoinen
syntynyt
voipa
keskeinen
varsinainen
tällainen
erityinen
kansallinen
oikea
oikee
vastaava
taloudellinen
sellainen
paikallinen
vapaa
tuleva
sanottu
varhainen
venäläinen
julkinen
rakennettu
lukuisa
kuuluisa
pyhä
juutalainen
eurooppalainen
tyypillinen
yhteinen
huomattava
lukuinen
pidetty
historiallinen
parempi
vahva
uskonnollinen
vaikea
katolinen
suora
sisäinen
elävä
myöhä
ranskalainen
tieteellinen
eteläinen
erillinen
ruotsalainen
avoin
parka
kehittynyt
johtava
suhteellinen
yhdysvaltalainen
kreikkalainen
suunniteltu
raskas
yhdistynyt
iso
heikko
roomalainen
kylmä
sopiva
muodostava
valmis
helppo
yksittäinen
kristitty
kyseinen
brittiläinen
mukainen
kommunistinen
yksityinen
esitetty
todellinen
läntinen
harvinainen
selvä
kiinalainen
edellinen
sosiaalinen
vanhempi
valittu
klassinen
mainittu
runsas
matala
yksinkertainen
kristillinen
vähäinen
käytettävä
vastainen
kasvava
tehokas
luonnollinen
löydetty
amerikkalainen
silloinen
näkyvä
vaihteleva
demokraattinen
itäinen
suomenkielinen
pysyvä
aikuinen
vähä
kasvanut
noussut
samanlainen
vihreä
niminen
vaikuttava
järjestetty
jaettu
moderni
sosialistinen
kirjoitettu
pitävä
normaali
käytetty
esiintyvä
aktiivinen
gregoriaaninen
etninen
kirjallinen
vakava
nimetty
ruotsinkielinen
pelkkä
kaltainen
vihollinen
puhdas
julkaistu
valtava
englantilainen
sotilaallinen
yhteiskunnallinen
kaupallinen
japanilainen
täydellinen
jatkuva
henkilökohtainen
tekninen
nykyaikainen
edustava
alainen
syvä
kevyt
kuiva
määritelty
väärä
muinainen
jälkeinen
länsimainen
hidas
kuuma
vieras
filosofinen
annettu
kehitetty
ikäinen
voittanut
valmistettu
köyhä
vaativa
persialainen
luterilainen
kielletty
varustettu
tumma
tekevä
harva
fyysinen
hallitseva
aino
havaittu
jälkimmäinen
ulkomainen
liikkuva
vaalea
ortodoksinen
kertova
sininen
kemiallinen
otettu
vaarallinen
ulkopuolinen
ympäröivä
lopullinen
ylin
paras
hallinnollinen
salainen
alhainen
tukeva
seksuaalinen
positiivinen
latinalainen
rikas
espanjalainen
keskittynyt
keskimääräinen
kokoinen
islamilainen
tuottava
kapea
alempi
liberaali
aiheuttava
italialainen
monimutkainen
kuvattu
vasen
tiukka
tiheä
vapaaehtoinen
tasainen
leveä
negatiivinen
mahdoton
henkinen
laskeva
alueellinen
turkkilainen
kiinnostunut
ilmainen
ulkoinen
selkeä
onnistunut
kotimainen
kestävä
puhuttu
väliaikainen
evankelisluterilainen
trooppinen
varma
kuvaava
vilkas
muuttanut
tuttu
muuttunut
monipuolinen
eroava
merkitty
digitaalinen
eräänlainen
afrikkalainen
tavanomainen
tyhjä
myyty
keltainen
suljettu
ankara
samankaltainen
moraalinen
looginen
ulkomaalainen
autonominen
puhuva
mittainen
kuollut
lähtevä
pakollinen
jyrkkä
laiton
välttämätön
ruskea
kirkas
vallitseva
ominainen
äärimmäinen
keskiaikainen
liitetty
riittävä
sähköinen
sukulainen
englanninkielinen
ylempi
valtakunnallinen
suunnattu
kriittinen
matemaattinen
pitkäaikainen
kuninkaallinen
ylimääräinen
teoreettinen
intialainen
väitetty
hengellinen
asuttu
pääasiallinen
yhdistetty
liittynyt
arvokas
kulta
pituinen
sallittu
ohut
rengastettu
paksu
kokonainen
hankala
valkea
todennäköinen
pisin
kärsivä
teknillinen
inhimillinen
tuntematon
puolalainen
kesäinen
edullinen
toteutettu
sähkömagneettinen
perustuslaillinen
muotoinen
kattava
harmaa
ulottuva
valtiollinen
hyväksytty
vajaa
elektroninen
vakiintunut
teollinen
lentävä
jonkinlainen
toistainen
alin
muuttuva
monenlainen
portugalilainen
ratkaiseva
menettänyt
keskinäinen
nouseva
kostea
karjalainen
sijoittuva
saamelainen
kultainen
keisarillinen
viittaava
ääretön
biologinen
riippumaton
neuvostoliittolainen
kansallissosialistinen
arkeologinen
todettu
radikaali
maailmanlaajuinen
vastustava
vuosittainen
välitön
radioaktiivinen
laillinen
enin
vakio
pystyvä
matti
kapinallinen
aito
kadonnut
edeltävä
varattu
olennainen
mekaaninen
kilpaileva
haluava
käännetty
vähentynyt
egyptiläinen
määrätty
luotettava
absoluuttinen
yhdistävä
vakaa
talvinen
käyvä
epäonnistunut
tutkiva
summa
maallinen
kannattava
asetettu
lisääntynyt
konservatiivinen
psykologinen
oleellinen
analyyttinen
akateeminen
vallankumouksellinen
unkarilainen
haluttu
vasemmistolainen
vastakkainen
lääketieteellinen
kokenut
kiertävä
graafinen
väkivaltainen
tanskalainen
riski
pehmeä
maantieteellinen
epäselvä
teologinen
tietoinen
rajoitettu
makedonialainen
koulutettu
erikoinen
vaikutusvaltainen
vaihtoehtoinen
säädetty
pelko
näyttävä
mahtava
turvallinen
sosiaalidemokraattinen
rekisteröity
osoittava
ikuinen
liittoutunut
laskettu
käypä
johdettu
hyödyllinen
erotettu
strateginen
käytännöllinen
