
A
tevkisolbe 	suruvaippa
Tievâslâš häämimolsom	täydellinen muodonvaihdos
tivre	hyönteinen
tiälkkutivre 	leppäkerttu
tuákkilodde	parvilintu
tuáršu	sorsa
tälvioijâgâs 	talvihorros
täsiliegâslâš	tasalämpöinen

U
uáinimvádulâš 	näkövammainen
uáivátkaalâ 	keräkaali
uáivušjuuhâ 	laskujoki
uánihissuájásâš	lyhytsiipinen
ucánjâš hämimolsom	vähittäinen/ vaillinainen muodonvaihdos
urbe 	norkko
urbe 	silmu
urbečuomâ	silmusuomu
uuccâmruvdustâh	hakuruudukko
uvjâ	untuva

V
vaakunâ 	vaakuna
vaanhimlodde 	emolintu
valvat	valvatti
valve-ellee 	laumaeläin
vandârdeijee 	jalankulkija
váimulágán	herttamainen (lehden muoto)
vázáttâh 	jalkakäytävä
vesa 	taimi
vielgadas	valkuainen (munassa)
vielgismuáskáš	valkoapila
viermičalme	verkkosilmä
vijđánemkuávlu	levinneisyysalue
vinjekove	viistokuva
virgeomâhâš	viranomainen
vuáđusáárgus	pohjapiirros
vuáládâh 	alanko
vuoptâcissááš 	töyhtötiainen
vuoptâkäskee 	kärsäkäs
vyelligisteedâ 	matalapaine
vyevdicissááš 	hömötiainen
vyevdiloddááš	järripeippo

Ä
äimisäplig 	siili
äimisäpligpannee 	siilikehrääjä
ässeisaahâdvuotâ 	väentiheys


