aiddo	just x
jámas
jámas
jámma
jávohaga
lagabui
lagabuidda
lagabut
lagat
lahka
lahkalaga x
lahkosis
lasi
lihkká
liige
liiggás
liikka
liikká
loahpageahčen
loahpas
lulde
lulil
lullelis
lulábealde
lulás
lunddolaččat
luovos
ládje
láhkai
lávga
mahkáš
maid
maiddá
maiddái
makkárge
man
manin
manin
manne
maná
masá
mađe
mađi
maŋemus
maŋemustá
maŋemuš
maŋimus
maŋimustá
maŋimuštá
maŋos
maŋosguvlui
maŋábealde
maŋás
maŋážassii
maŋŋel
maŋŋelaš
maŋŋeleappos
maŋŋelii
maŋŋelis
maŋŋil
maŋŋit
maŋŋálaga
mealgadii
mealgat
mearkkašahtti
measta
meastui
menddo
miehtá
mielas
mielde
mihá
millosepmosit
mo
moddii
moktege
mot
movt
movtta
muhtimin x
muhtomin x
muhtumin x
muhtunládje
muđui
máddin
máttabealde
máttás
máŋggaládje
máŋggaláhkai
máŋgii
naba
nai
nalde
namalassii
nannosit
nappo
nie
njoazebut
njozet x
njulgestaga
njuolga x
njuolgga x
njuolgut
njuovžilit
njálmmálaččat x
no
norggabealde
nu
numo
nuortan
nuorttabealde
nuorttas
nuppebealde
nuppeládje
nuppeláhkai
nuppes
nuppádassii
nuvt
nuvttá
ná
oainnat
oalle
oalát
oanebotta
oarjin
oarjjabealde
oarjjás
oba
obalohkái
obanassii
obba
obbalaš
obbalohkái x
odne
oidnosii
oidnosis x
oktan
oktanaga
oktanis
oktasaččat
okte
oktii
oktiibuot
oktiige
oktilaččat
okto
olggobealde
olggobeale
olggobeali
olggobeallái
olggos x
olgun x
ollenge
ollislaččat x
ollu
ollásit
olu
olus
on
oppa
oppalaččat
oppanassii
osohahkii
otne
ovdagihtii
ovdal
ovdalaš
ovdalgihtii
ovdalii
ovdalis
ovdan
ovddabealde
ovddalgihtii
ovddas
ovddemus
ovddemusat
ovddemustá
ovddežis
ovddimustá
ovddos
ovddosguvlui
ovdelis
ovdán
ovttajienalaččat
ovttamielas
ovttas
ovttatmano
ovttatmanu
ođđasis
ođđasit
persovnnalaččat
rabas
rastá
rat
riekta
roahkka
ruoktot
ruoktut
ruossalassii
ruovttoluotta
ruoŧabealde
rádjai
sahtedohko
sajis
sakka
seahkálaga
seamma
seammaládje
seammaláhkai
seammaláhkái
seammas
seammá
seammáládje
seammás
searválaga
sierra
sierra
sihke
sihkkarit
sikkarit
sisa
sisa
siskelis
siskkáldas
siskkáldasat
siste
stuorrát
suige
sulli
sullii
summal
suoli
uhccán x
uhcimusat
uhcit
uhcán
unnimus
unnimusat
unnimustá
unnit
unnán
valjit
vare
veahá
veaháš
