meie+Pron+Emph+Pl1+Tra	meiks	
		
me+Pron+Pl1+Ter  meieni
meie+Pron+Emph+Pl1+Ter  meieni	
		
me+Pron+Pl1+Ess  meiena	
meie+Pron+Emph+Pl1+Ess  meiena		
		
me+Pron+Pl1+Abe	meieta
meie+Pron+Emph+Pl1+Abe	meieta	
		
me+Pron+Pl1+Com	meiega	
meie+Pron+Emph+Pl1+Com	meiega

te+Pron+Pl1+Nom	te	
teie+Pron+Emph+Pl1+Nom 	teie	
		
te+Pron+Pl1+Gen	te
te+Pron+Pl1+Gen	teie	
teie+Pron+Emph+Pl1+Gen	teie	
		
te+Pron+Pl1+Par	teid
teie+Pron+Emph+Pl1+Par	teid	
		
te+Pron+Pl1+Ill  teisse
teie+Pron+Emph+Pl1+Ill  teisse	
		
te+Pron+Pl1+Ine  teis	
teie+Pron+Emph+Pl1+Ine  teis		
		
te+Pron+Pl1+Ela	teist
teie+Pron+Emph+Pl1+Ela	teist	
		
te+Pron+Pl1+All	teile
teie+Pron+Emph+Pl1+All	teile	
		
te+Pron+Pl1+Ade	teil
teie+Pron+Emph+Pl1+Ade	teil	
		
te+Pron+Pl1+Abl	teilt
teie+Pron+Emph+Pl1+Abl	teilt	
		
te+Pron+Pl1+Tra	teiks
teie+Pron+Emph+Pl1+Tra	teiks	
		
te+Pron+Pl1+Ter  teieni
teie+Pron+Emph+Pl1+Ter  teieni	
		
te+Pron+Pl1+Ess  teiena	
teie+Pron+Emph+Pl1+Ess  teiena		
		
te+Pron+Pl1+Abe	teieta
teie+Pron+Emph+Pl1+Abe	teieta	
		
te+Pron+Pl1+Com	teiega	
teie+Pron+Emph+Pl1+Com	teiega		
		
nad+Pron+Pl3+Nom	nad	
nemad+Pron+Emph+Pl3+Nom 	nemad		
		
nad+Pron+Pl3+Gen	nende
nemad+Pron+Emph+Pl3+Gen	nende	
		
nad+Pron+Pl3+Par	neid
nemad+Pron+Emph+Pl3+Par	neid	
		
nad+Pron+Pl3+Ill  	neisse
nemad+Pron+Emph+Pl3+Ill  	nendesse
nad+Pron+Pl3+Ill  	nendesse
nemad+Pron+Emph+Pl3+Ill  	neisse	
		
nad+Pron+Pl3+Ine  	neis	
nad+Pron+Pl3+Ine  	nendes	
nemad+Pron+Emph+Pl3+Ine  	nendes
nemad+Pron+Emph+Pl3+Ine  	neis	
		
nad+Pron+Pl3+Ela	neist
nad+Pron+Pl3+Ela	nendest
nemad+Pron+Emph+Pl3+Ela	nendest
nemad+Pron+Emph+Pl3+Ela	neist	
		
nad+Pron+Pl3+All	neile	
nad+Pron+Pl3+All	nendele	
nemad+Pron+Emph+Pl3+All	nendele	
nemad+Pron+Emph+Pl3+All	neile	
		
nad+Pron+Pl3+Ade	neil
nad+Pron+Pl3+Ade	nendel
nemad+Pron+Emph+Pl3+Ade	nendel
nemad+Pron+Emph+Pl3+Ade	neil
			
nad+Pron+Pl3+Abl	neilt
nad+Pron+Pl3+Abl	nendelt
nemad+Pron+Emph+Pl3+Abl	nendelt
nemad+Pron+Emph+Pl3+Abl	neilt	

nad+Pron+Pl3+Tra	neiks		
nad+Pron+Pl3+Tra	nendeks
nemad+Pron+Emph+Pl3+Tra	nendeks
nemad+Pron+Emph+Pl3+Tra	neiks
			
nad+Pron+Pl3+Ter  	nendeni
nemad+Pron+Emph+Pl3+Ter  	nendeni	
		
nad+Pron+Pl3+Ess  	nendena	
nemad+Pron+Emph+Pl3+Ess  	nendena		
		
nad+Pron+Pl3+Abe	nendeta
nemad+Pron+Emph+Pl3+Abe	nendeta	
		
nad+Pron+Pl3+Com	nendega
nemad+Pron+Emph+Pl3+Com	nendega
	
