tere õhtust!|MWE|good evening!|добрый вечер!|guten Abend!|hyvää iltaa!|1
tere|I
tervist|I
tubli|A|good (at smth), good|хороший, отличный|schlau, gescheit|hyvä, kelpo, kunnon|1
tõesti|Adv|really|действительно|wirklich|todella, tosiaan|1
tüdruk|S|girl|девочка|Mädchen|tyttö|1|FAMILY
vabandust|I|sorry|извини, извините|Entschuldigung!|anteeksi|1
vana|A|old|старый, старинный|alt|vanha|1
vasak|A|left|левый|links|vasen|1
väga|Adv|very|очень|sehr|erittäin|1
väga meeldiv|MWE|very nice|очень приятно|sehr erfreut!|erittäin miellyttävä|1
väike|A|small, little|маленький|klein|pieni|1
õhtu|S|evening|вечер|Abend|ilta|1
öelge| X
öö|S|night|ночь|Nacht|yö|1
ümar|A|round|круглый|rund|pyöreä|1
aeglasemalt|Adv|more slowly|медленнее|langsamer|hitaammin|2
ainult|Adv|only|только|nur|ainoa|2
aru saama|MWE|to understand|понимать|verstehen|ymmärtää, käsittää|2
eestlane|S|Estonian|эстонец, эстонка|Este|virolainen|2
ema|S|mother|мама, мать|Mutter|äiti|2|FAMILY
emakeel|S|mother tongue|родной язык|Muttersprache|äidinkieli|2
et|J
grammatika|S|grammar|грамматика|Grammatik|kielioppi|2
Hiina|S|China|Китай|China|Kiina|2
hiinlane|S|Chinese|китаец, китаянка|Chinese|kiinalainen|2
Hispaania|H|Spain|Испания|Spanien|Espanja|2
hispaanlane|S|Spaniard|испанец, испанка|Spanier|espanjalainen|2
iga|Pron|every|каждый|jede|joka|2
Inglismaa|H|England|Англия|England|Englanti|2
inglane|S|Englishman|англичанин, англичанка|Engländer|englantilainen|2
inimene|S|person|человек|Mensch, Person|ihminen|2
isa|S|father|папа, отец|Vater|isä|2|FAMILY
Itaalia|H|Italy|Италия|Italien|Italia|2
itaallane|S|Italian|итальянец, итальянка|Italiener|italialainen|2
juba|Adv|already|уже|schon|jo, -han, -hän|2
kahjuks|Adv|unfortunately|к сожалению|leider|valitettavasti|2
keel|S|language, tongue|язык|Sprache, Zunge|kieli|2
keeltekool|S|language school|языковая школа|Sprachschule|kielikoulu|2
kerge|S|easy|легкий|einfach, leicht|helppo|2
kerge|A|easy|легкий|einfach, leicht|helppo|2
kirjutama|V|to write|писать|schreiben|kirjoitaa|2
kodu|S|home|дом|Zuhause|koti|2
kool|S|school|школа|Schule|koulu|2
koolis|S|at school, in school|в школе|in der Schule|koulussa|2
kursus|S
kursusel|S|in the course|на курсах|im Kurs|kurssilla|2
kust|Adv
Leedu|G
Leedu|H
leedulane|S|Lithuanian|литовец, литовка|Litauer|liettualainen|2
lugema|V|to read|читать|lesen|lukea|2
luuletus|S|poem|стихотворение|Gedicht|runo|2
Läti|G|Latvia|Латвия|Lettland|Latvia|2
Läti| H|Latvia|Латвия|Lettland|Latvia|2
lätlane|S|Latvian|латыш, латышка|Lette|latvialainen|2
Läänemeri|S|Baltic Sea|Балтийское море|Ostsee|Itä meri|2
me|Pron
meri|S|sea|море|Meer|meri|2
ma|Pron
natuke|Adv|a little|немного|ein bisschen|vähän|2
nii|Adv|so|так|so|niin, näin, siten|2
Norra|G|Norway|Норвегия|Norwegen|Norja|2
Norra|H|Norway|Норвегия|Norwegen|Norja|2
norralane|S|Norwegian|норвежец, норвежка|Norweger|norjalainen|2
nüüd|Adv|now|сейчас|jetzt|nyt|2
olen õppinud|MWE|I have studied|я учился|ich habe studiert|olen oppinut|2
oma|Pron|one’s own|свой|eigene|oma|2
oskama|V|to be able to, can|уметь, владеть|können|osata, kyetä|2
pole| X
Poola|G
Poola|H
poolakas|S|Pole|поляк, полька|Pole|puolalainen|2
Prantsusmaa|H|France|Франция|Frankreich|Ranska|2
prantslane|S|Frenchman|француз, француженка|Franzose|ranskalainen|2
päris|Adv|quite|довольно|ziemlich|aika, melko|2
pärit olema|MWE|come from|быть родом|(her)kommen, herkommen, kommen|olla kotoisin|2
raamat|S|book|книга|Buch|kirja|2
rahvus|S|nationality|национальность|Nation|kansa|2
raske|A|difficult, heavy|трудный, тяжёлый|schwierig, schwer|vaikea, raskeas|2
riik|S|state, country|государство|Staat, Land|valtio|2
Rootsi|G|Sweden|Швеция|Schweden|Ruotsi|2
Rootsi|H|Sweden|Швеция|Schweden|Ruotsi|2
rootslane|S|Swede|швед, шведка|Schwede|ruotsalainen|2
rääkima|V|to speak|говорить|sprechen|puhua|2
Saksamaa|S|Germany|Германия|Deutschland|Saksa|2
sakslane|S|German|немец, немка|Deutscher|saksalainen|2
Soome|G|Finland|Финляндия|Finnland|Suomi|2
Soome|H|Finland|Финляндия|Finnland|Suomi|2
soomlane|S|Finn|финн, финка|Finne|suomalainen|2
suur|A|big|большой|groß|suuri|2
sõna|S|word|слово|Wort|sana|2
sündima|V|to be born|родиться|geboren sein|syntyä|2
Taani|G|Denmark|Дания|Dänemark|Tanska|2
Taani|H|Denmark|Дания|Dänemark|Tanska|2
taanlane|S|Dane|датчанин, датчанка|Däne|tanskalainen|2
tuttavaks saama|MWE|to get acquainted|познакомиться|sich kennenlernen|tutustua|2
Ungari|H|Hungary|Венгрия|Ungarn|Unkari|2
ungarlane|S|Hungarian|венгр, венгерка|Ungar|unkarilainen|2
vanaema|S|grandmother|бабушка|Großmutter|isoäiti|2
veel|Adv|else|ещё|noch|vielä|2
Venemaa|H|Russia|Россия|Russland|Venäjä|2
venelane|S|Russian|русский, русская|Russe|venäläinen|2
õpetaja|S|teacher|учитель, учительница|Lehrer|opettaja|2
õpetama|V|to teach|преподавать|lehren, unterrichten|opettaa|2
õpik|S|textbook|учебник|Lehrbuch|oppikirja|2
õpilane|S|student|ученик, ученица|Schüler|oppilas|2
õppima|V|to study|учиться, изучать|lernen, studieren|oppia|2
ääres|K|at|у|an, entlang|vieressä, äärellä|2
ülikool|S|university|университет|Universität|yliopisto|2
üliõpilane|S|university student|студент|Student|yliopiston opiskelija|2
aadress|S|address|адрес|Adresse|osoite|3|3
etteütlus||dictation|диктант|Diktat|sanelu|3
helistama|V|to call|звонить|anrufen|soittaa|3
homme|Adv|tomorrow|завтра|morgen|huomenna|3
härra|S|Mr.|господин|Herr|herra|3
kesklinn|S|city center|центр города|Stadtmitte|keskikaupunki|3
kivi|S|rock, stone|камень|Stein|kivi|3
konn|S|frog|лягушка|Frosch|sammakko|3
kord|Adv|time|раз|mal|kerta|3
kord|S|time|раз|mal|kerta|3
korter|S|apartment, flat|квартира|Wohnung|asunto|3
küsima|V|to ask a question|спрашивать|fragen|kysyä|3
lause|S|sentence|предложение|Satz|lause|3
lehekülg|S|page|страница|Seite|sivu|3
linnaosa|S|district|часть города, район|Stadtteil|kaupunginosa|3
lugupeetud| A|esteemed|уважаемый|geehrte, geehrter, verehrte, verehrter|arvoisa|3
läheb| X
maantee|S|main road, highway|шоссе|Landstraße|maantie|3
maja|S|house|дом|Haus|talo|3
mark|S|stamp|марка|Briefmarke|postimerkki|3
muidugi|Adv|of course|конечно|natürlich|tietysti|3
mul on|MWE|I have|у меня|ich habe|minulla on|3
mulle|S|to me|мне|mir|minulle|3
mägi|S|mountain, hill|гора|Berg|mäki|3
null|S|zero|ноль|Null|nolla|3
number|S|number|номер|Nummer, Zahl|numero|3
peab| X
proua|S|Mrs.|госпожа|Frau|rouva|3
puiestee|S|avenue, boulevard|бульвар|Allee|puistotie, bulevardi|3
saatma|V|to send|посылать|schicken, senden|lähettää|3
sadam|S|port, harbor|порт|Hafen|satama|3
sama|Pron|same|тот же самый|selbe|sama|3
selge|A|clear|ясный|klar|selvä, selkeä|3
supp|S|soup|суп|Suppe|keitto|3
tal on|MWE|he has, she has|у него|er hat, sie hat, es hat|hänellä on|3
talle|S|to him, to her|ему|ihm, ihr|hänelle|3
tavaline|A|regular, usual|обычный|üblich, gewöhnlich|tavallinen|3
teadma|V|to know|знать|wissen|tietää|3
tee|S|road|дорога|Weg|tie|3
telefon|S|telephone|телефон|Telefon|puhelin|3
