vabandust|sorry|извини, извините|Entschuldigung!|anteeksi|1
vana|old|старый, старинный|alt|vanha|1
vasak|left|левый|links|vasen|1
väga|very|очень|sehr|erittäin|1
väga meeldiv|very nice|очень приятно|sehr erfreut!|erittäin miellyttävä|1
väike|small, little|маленький|klein|pieni|1
õhtu|evening|вечер|Abend|ilta|1
öö|night|ночь|Nacht|yö|1
ümar|round|круглый|rund|pyöreä|1
aeglasemalt|more slowly|медленнее|langsamer|hitaammin|2
ainult|only|только|nur|ainoa|2
aru saama|to understand|понимать|verstehen|ymmärtää, käsittää|2
eestlane|Estonian|эстонец, эстонка|Este|virolainen|2
ema|mother|мама, мать|Mutter|äiti|2
emakeel|mother tongue|родной язык|Muttersprache|äidinkieli|2
grammatika|grammar|грамматика|Grammatik|kielioppi|2
Hiina|China|Китай|China|Kiina|2
hiinlane|Chinese|китаец, китаянка|Chinese|kiinalainen|2
Hispaania|Spain|Испания|Spanien|Espanja|2
hispaanlane|Spaniard|испанец, испанка|Spanier|espanjalainen|2
iga|every|каждый|jede|joka|2
Inglismaa|England|Англия|England|Englanti|2
inglane|Englishman|англичанин, англичанка|Engländer|englantilainen|2
inimene|person|человек|Mensch, Person|ihminen|2
isa|father|папа, отец|Vater|isä|2
Itaalia|Italy|Италия|Italien|Italia|2
itaallane|Italian|итальянец, итальянка|Italiener|italialainen|2
juba|already|уже|schon|jo, -han, -hän|2
kahjuks|unfortunately|к сожалению|leider|valitettavasti|2
keel|language, tongue|язык|Sprache, Zunge|kieli|2
keeltekool|language school|языковая школа|Sprachschule|kielikoulu|2
kerge|easy|легкий|einfach, leicht|helppo|2
kirjutama|to write|писать|schreiben|kirjoitaa|2
kodu|home|дом|Zuhause|koti|2
kool|school|школа|Schule|koulu|2
koolis|at school, in school|в школе|in der Schule|koulussa|2
kursusel|in the course|на курсах|im Kurs|kurssilla|2
kust?|from where?|откуда?|woher? woraus?|mistä?|2
Leedu|Lithuania|Литва|Litauen|Liettua|2
leedulane|Lithuanian|литовец, литовка|Litauer|liettualainen|2
lugema|to read|читать|lesen|lukea|2
luuletus|poem|стихотворение|Gedicht|runo|2
Läti|Latvia|Латвия|Lettland|Latvia|2
lätlane|Latvian|латыш, латышка|Lette|latvialainen|2
Läänemeri|Baltic Sea|Балтийское море|Ostsee|Itä meri|2
meil|e-mail|электронная почта|Email|sähköposti, e-mail|2
meri|sea|море|Meer|meri|2
mulle|to me|мне|mir|minulle|2
natuke|a little|немного|ein bisschen|vähän|2
nii|so|так|so|niin, näin, siten|2
Norra|Norway|Норвегия|Norwegen|Norja|2
norralane|Norwegian|норвежец, норвежка|Norweger|norjalainen|2
nüüd|now|сейчас|jetzt|nyt|2
olen õppinud|I have studied|я учился|ich habe studiert|olen oppinut|2
oma|one’s own|свой|eigene|oma|2
oskama|to be able to, can|уметь, владеть|können|osata, kyetä|2
Poola|Poland|Польша|Polen|Puola|2
poolakas|Pole|поляк, полька|Pole|puolalainen|2
Prantsusmaa|France|Франция|Frankreich|Ranska|2
prantslane|Frenchman|француз, француженка|Franzose|ranskalainen|2
päris|quite|довольно|ziemlich|aika, melko|2
pärit olema|быть родом|(her)kommen, herkommen, kommen|olla kotoisin|2
raamat|book|книга|Buch|kirja|2
rahvus|nationality|национальность|Nation|kansa|2
raske|difficult, heavy|трудный, тяжёлый|schwierig, schwer|vaikea, raskeas|2
riik|state, country|государство|Staat, Land|valtio|2
Rootsi|Sweden|Швеция|Schweden|Ruotsi|2
rootslane|Swede|швед, шведка|Schwede|ruotsalainen|2
rääkima|to speak|говорить|sprechen|puhua|2
Saksamaa|Germany|Германия|Deutschland|Saksa|2
sakslane|German|немец, немка|Deutscher|saksalainen|2
Soome|Finland|Финляндия|Finnland|Suomi|2
soomlane|Finn|финн, финка|Finne|suomalainen|2
suur|big|большой|groß|suuri|2
sõna|word|слово|Wort|sana|2
sündima|to be born|родиться|geboren sein|syntyä|2
Taani|Denmark|Дания|Dänemark|Tanska|2
taanlane|Dane|датчанин, датчанка|Däne|tanskalainen|2
tuttavaks saama|to get acquainted|познакомиться|sich kennenlernen|tutustua|2
Ungari|Hungary|Венгрия|Ungarn|Unkari|2
ungarlane|Hungarian|венгр, венгерка|Ungar|unkarilainen|2
vanaema|grandmother|бабушка|Großmutter|isoäiti|2
veel|else|ещё|noch|vielä|2
Venemaa|Russia|Россия|Russland|Venäjä|2
venelane|Russian|русский, русская|Russe|venäläinen|2
õpetaja|teacher|учитель, учительница|Lehrer|opettaja|2
õpetama|to teach|преподавать|lehren, unterrichten|opettaa|2
õpik|textbook|учебник|Lehrbuch|oppikirja|2
õpilane|student|ученик, ученица|Schüler|oppilas|2
õppima|to study|учиться, изучать|lernen, studieren|oppia|2
ääres|at|у|an, entlang|vieressä, äärellä|2
ülikool|university|университет|Universität|yliopisto|2
üliõpilane|university student|студент|Student|yliopiston opiskelija|2
aadress|address|адрес|Adresse|osoite|3|3
etteütlus|dictation|диктант|Diktat|sanelu|3
helistama|to call|звонить|anrufen|soittaa|3
homme|tomorrow|завтра|morgen|huomenna|3
härra|Mr.|господин|Herr|herra|3
kesklinn|city center|центр города|Stadtmitte|keskikaupunki|3
kivi|rock, stone|камень|Stein|kivi|3
konn|frog|лягушка|Frosch|sammakko|3
kord|time|раз|mal|kerta|3
korter|apartment, flat|квартира|Wohnung|asunto|3
küsima|to ask a question|спрашивать|fragen|kysyä|3
lause|sentence|предложение|Satz|lause|3
lehekülg|page|страница|Seite|sivu|3
linnaosa|district|часть города, район|Stadtteil|kaupunginosa|3
lugupeetud|esteemed|уважаемый|geehrte, geehrter, verehrte, verehrter|arvoisa|3
maantee|main road, highway|шоссе|Landstraße|maantie|3
maja|house|дом|Haus|talo|3
mark|stamp|марка|Briefmarke|postimerkki|3
miljon|million|миллион|Million|miljoona|3
muidugi|of course|конечно|natürlich|tietysti|3
mul on|I have|у меня|ich habe|minulla on|3
mulle|to me|мне|mir|minulle|3
mägi|mountain, hill|гора|Berg|mäki|3
null|zero|ноль|Null|nolla|3
number|number|номер|Nummer, Zahl|numero|3
numbreid|3
olgu|okay|ладно|in Ordnung|okei|3
oma|one’s own|свой|eigene|oma|3
proua|Mrs.|госпожа|Frau|rouva|3
puiestee|avenue, boulevard|бульвар|Allee|puistotie, bulevardi|3
saatma|to send|посылать|schicken, senden|lähettää|3
sada|hundred|сто|Hundert|sata|3
sadam|port, harbor|порт|Hafen|satama|3
sama|same|тот же самый|selbe|sama|3
selge|clear|ясный|klar|selvä, selkeä|3
supp|soup|суп|Suppe|keitto|3
